"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRAK2",2742.65982891447,0.623467819860998,0.0629556680725316,9.90328335715058,4.02828303355765e-23,7.50992805946153e-19
"GDF11",4598.32041763125,0.600433775635961,0.0816323351531892,7.35534239599054,1.904383306322e-13,1.77517089898805e-09
"MACF1",33635.9694069323,0.533742768084406,0.0753965186413469,7.07914341010045,1.45048222086491e-12,9.01378001452816e-09
"DEXI",308.58428231539,0.887397684479833,0.136619464080964,6.49539720016716,8.28146209167135e-11,3.85978244437572e-07
"NRAV",398.916838063319,0.66961955479302,0.103782668990428,6.45213272415244,1.10286922313239e-10,4.11215818537144e-07
"FKRP",1284.39043997459,0.476800177365861,0.0840819383820174,5.6706611020261,1.42247535815954e-08,4.41986801702806e-05
"PJA2",17109.9114294669,-0.309327028821496,0.0557554329999453,-5.54792622311443,2.89077801505773e-08,7.69896779067446e-05
"ACBD4",150.093206283466,-0.705774495232235,0.127876185450161,-5.51920197453269,3.40542607507085e-08,7.93591978969323e-05
"PINK1-AS",240.556822778387,0.65125017169369,0.119907063956294,5.43129112002166,5.59477766801338e-08,0.000115892711183082
"ERVK-28",27.8891798874679,-2.25477116584458,0.421425044798428,-5.35034923451942,8.77846596792319e-08,0.000136380784199993
"EXD3",287.340811348298,-0.618955061969628,0.115675711706064,-5.3507780746784,8.75768675989374e-08,0.000136380784199993
"TMEM143",248.996129492089,-0.571940026760405,0.106870342118441,-5.35171887188815,8.71226766398143e-08,0.000136380784199993
"NACAD",1743.45994806319,-0.372447742684528,0.07145989480578,-5.2119828009375,1.86832874281676e-07,0.000254584320622805
"SLC35E3",1706.8969789314,0.424491222952502,0.0815119975179612,5.20771464174909,1.91180630194672e-07,0.000254584320622805
"UQCRC2",6873.56931730997,-0.26595624799963,0.05175300326315,-5.13895293471791,2.76273579373941e-07,0.000343371222684558
"MBNL1-AS1",106.320442607962,0.726430512426226,0.14212026443872,5.11137884027404,3.19815909181972e-07,0.000372645499679969
"ACTR1B",1450.5440454844,-0.545192960007393,0.108691760441286,-5.01595482301438,5.27707285628015e-07,0.000578708642703711
"CCNL2",1160.88574671984,0.347737230997651,0.0704057841567589,4.93904350562181,7.85066975238479e-07,0.000813111312187275
"TP53INP2",3434.74273326058,0.378594955601308,0.0772935934474594,4.89814147221217,9.67473706095492e-07,0.000949295384354645
"TCF25",3122.51195066875,-0.225211938114588,0.0463372214127509,-4.86028145944492,1.17218979060503e-06,0.00109265671331248
"PIGM",1433.69967948034,0.5094773735804,0.106337090991952,4.79115395040247,1.65824825493732e-06,0.00147212962937126
"CENPP",123.031975142047,0.506844946870974,0.106556299505865,4.75659298625583,1.96887569845696e-06,0.00159590215853622
"ZNF710-AS1",550.258162651435,-0.733993142772741,0.154193157853968,-4.76021863089337,1.93383359679191e-06,0.00159590215853622
"AKAP8L",1757.16848068221,-0.557661345714981,0.117924472126576,-4.72897046438677,2.25661205169315e-06,0.00175291743665481
"CUBN",136.475855124699,0.70538541639476,0.152711377831153,4.61907571271262,3.85453200355854e-06,0.00287440160569367
"DALRD3",716.556682102174,-0.339404853103422,0.0740356698406796,-4.58434230194447,4.55417646079187e-06,0.00314457450957566
"ZNF594",467.987979974507,0.557774357159572,0.121555396581228,4.58864330870612,4.46135984736652e-06,0.00314457450957566
"TUBA1A",117343.797661801,-0.339694174603875,0.0743172363859776,-4.57086661349492,4.85711383670115e-06,0.00323397047348641
"SNX8",1944.11496286824,0.346276642421375,0.0760476627333297,4.55341597592072,5.27817587283454e-06,0.00339313906197429
"BCAS3",623.793340261547,-0.357256098004569,0.0807306503544057,-4.42528452869168,9.63152509429192e-06,0.00587042019418013
"IBA57",528.65938539403,0.445207935945168,0.100671322722371,4.42239084483821,9.76146682505948e-06,0.00587042019418013
"FBXL19-AS1",216.277482648162,0.846914423154574,0.19331300447675,4.3810525083243,1.18107402020565e-05,0.00688086342459184
"HUS1",338.041304837343,0.406676439361058,0.0931437915618199,4.36611428998083,1.2647632006783e-05,0.00714514556068048
"ERCC2",965.19146655441,-0.363031925076116,0.0837638221931153,-4.33399426591536,1.46427990052137e-05,0.00802899123100587
"PARP2",1185.56501155355,-0.288456458767232,0.0667871687001333,-4.31904008481581,1.56709319861869e-05,0.00834723385767095
"ATXN2L",5000.10190279195,-0.26411085981373,0.0615605191068372,-4.29026368922215,1.78461093155548e-05,0.00875539515710234
"CRAT",1253.41955273221,-0.326364261940021,0.0760377391098092,-4.29213527073319,1.76963081188473e-05,0.00875539515710234
"RAD23A",1921.95964217611,-0.25719668154457,0.0599053235102826,-4.29338607111307,1.75968629025268e-05,0.00875539515710234
"RSU1",1283.76280105674,0.256191650147788,0.0598033758868941,4.28389946802205,1.83645917615231e-05,0.00877874574897629
"ZNF330",1012.18123770274,-0.312989288055596,0.073215505945014,-4.27490439375855,1.91219332453239e-05,0.00891225503731435
"KLHDC2",1210.39625849201,-0.287786024309236,0.0674954468324737,-4.26378426716,2.00993509828706e-05,0.0089449165623506
"SAT1",1558.56867233063,-0.771881397883067,0.181056628662311,-4.26320430014581,2.01516116300341e-05,0.0089449165623506
"RGL2",1163.95087967614,-0.405213351149507,0.0952223819722658,-4.25544228947694,2.08636175170782e-05,0.00904559119467181
"CORIN",19.8367979540956,1.69259575723127,0.399338136032295,4.2385026735698,2.25015503797787e-05,0.00941018055431937
"MMP16",2531.86703560103,0.319999794883154,0.075582973295759,4.23375504997645,2.29821264108479e-05,0.00941018055431937
"PTRH2",556.543339533834,0.363945683939497,0.0861081264383629,4.22661250445408,2.37235684199437e-05,0.00941018055431937
"TRIM41",2279.99991750316,0.253970079719802,0.0600835219482566,4.22695060949521,2.36879636555112e-05,0.00941018055431937
"NPIPB4",67.3027490556566,0.751024808507913,0.177916141038041,4.22122919329356,2.42973733610908e-05,0.00943699857439201
"BBC3",1040.41165502283,-0.413365043905191,0.0990859607044341,-4.17178216738724,3.02226495975847e-05,0.0101306015864987
"FBXL5",2418.39339751543,-0.195718222773162,0.0467847770464824,-4.18337406158222,2.87214227635804e-05,0.0101306015864987
"FGD6",618.556362342182,0.459465524275638,0.109680188593817,4.18913871471534,2.80015202561907e-05,0.0101306015864987
"FOS",492.66429640686,-1.16750761097026,0.279970220187657,-4.17011355774808,3.04447898165976e-05,0.0101306015864987
"KATNB1",848.195977783308,-0.315647727521283,0.0757641926220086,-4.16618611770953,3.09737858944603e-05,0.0101306015864987
"KATNBL1",745.578501968491,-0.380876100747003,0.0912259982174198,-4.17508285126414,2.97877623113844e-05,0.0101306015864987
"TCAF1",4534.39181889154,-0.350079703507142,0.0833737349782862,-4.19892072243515,2.68190186733464e-05,0.0101306015864987
"TIMM8B",1222.6345245793,0.334238180039456,0.0799235959274174,4.18197124592585,2.88992525245508e-05,0.0101306015864987
"TTPAL",1268.14896228141,0.33793824750263,0.0810615894314456,4.16890724537824,3.06063503322348e-05,0.0101306015864987
