"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection","intersection_gene","intersection_gene_id","term"
"query_1",TRUE,0.00589998572584838,2,1,1,1,0.5,"GO:0003050","GO:BP","regulation of systemic arterial blood pressure by atrial natriuretic peptide",21017,1501,"IMP,ISS,IEA","CORIN,NA,NA","CORIN,character(0),character(0)","ENSG00000145244,NULL,NULL","GO:BP - regulation of systemic arterial blood pressure by atrial natriuretic peptide"
"query_1",TRUE,0.00884997858876396,8,1,1,1,0.125,"GO:0035813","GO:BP","regulation of renal sodium excretion",21017,9262,"ISS,IEA","CORIN,NA","CORIN,character(0)","ENSG00000145244,NULL","GO:BP - regulation of renal sodium excretion"
"query_1",TRUE,0.00884997858876396,11,1,1,1,0.0909090909090909,"GO:0044062","GO:BP","regulation of excretion",21017,10896,"ISS,IEA","CORIN,NA","CORIN,character(0)","ENSG00000145244,NULL","GO:BP - regulation of excretion"
"query_1",TRUE,0.00884997858876396,12,1,1,1,0.0833333333333333,"GO:0035812","GO:BP","renal sodium excretion",21017,9261,"ISS,IEA","CORIN,NA","CORIN,character(0)","ENSG00000145244,NULL","GO:BP - renal sodium excretion"
"query_1",TRUE,0.0105356887961441,22,1,1,1,0.0454545454545455,"GO:0098801","GO:BP","regulation of renal system process",21017,18898,"ISS,IEA","CORIN,NA","CORIN,character(0)","ENSG00000145244,NULL","GO:BP - regulation of renal system process"
"query_1",TRUE,0.0105356887961441,20,1,1,1,0.05,"GO:0097254","GO:BP","renal tubular secretion",21017,18562,"ISS,IEA","CORIN,NA","CORIN,character(0)","ENSG00000145244,NULL","GO:BP - renal tubular secretion"
"query_1",TRUE,0.0105356887961441,25,1,1,1,0.04,"GO:1903779","GO:BP","regulation of cardiac conduction",21017,23270,"TAS","CORIN","CORIN","ENSG00000145244","GO:BP - regulation of cardiac conduction"
"query_1",TRUE,0.0106653588120978,47,1,1,1,0.0212765957446809,"GO:0055078","GO:BP","sodium ion homeostasis",21017,14232,"ISS,IEA","CORIN,NA","CORIN,character(0)","ENSG00000145244,NULL","GO:BP - sodium ion homeostasis"
"query_1",TRUE,0.0106653588120978,47,1,1,1,0.0212765957446809,"GO:0003044","GO:BP","regulation of systemic arterial blood pressure mediated by a chemical signal",21017,1495,"IMP,ISS,IEA","CORIN,NA,NA","CORIN,character(0),character(0)","ENSG00000145244,NULL,NULL","GO:BP - regulation of systemic arterial blood pressure mediated by a chemical signal"
"query_1",TRUE,0.0106653588120978,40,1,1,1,0.025,"GO:0140448","GO:BP","signaling receptor ligand precursor processing",21017,19778,"IDA,IEA","CORIN,NA","CORIN,character(0)","ENSG00000145244,NULL","GO:BP - signaling receptor ligand precursor processing"
"query_1",TRUE,0.0106653588120978,30,1,1,1,0.0333333333333333,"GO:0007588","GO:BP","excretion",21017,3049,"ISS,IEA","CORIN,NA","CORIN,character(0)","ENSG00000145244,NULL","GO:BP - excretion"
"query_1",TRUE,0.0106653588120978,36,1,1,1,0.0277777777777778,"GO:0016486","GO:BP","peptide hormone processing",21017,5234,"IDA,IEA","CORIN,NA","CORIN,character(0)","ENSG00000145244,NULL","GO:BP - peptide hormone processing"
"query_1",TRUE,0.0106653588120978,39,1,1,1,0.0256410256410256,"GO:0001990","GO:BP","regulation of systemic arterial blood pressure by hormone",21017,594,"IMP,ISS,IEA","CORIN,NA,NA","CORIN,character(0),character(0)","ENSG00000145244,NULL,NULL","GO:BP - regulation of systemic arterial blood pressure by hormone"
"query_1",TRUE,0.0180687062853883,95,1,1,1,0.0105263157894737,"GO:0061337","GO:BP","cardiac conduction",21017,15419,"TAS","CORIN","CORIN","ENSG00000145244","GO:BP - cardiac conduction"
"query_1",TRUE,0.0180687062853883,98,1,1,1,0.0102040816326531,"GO:0003073","GO:BP","regulation of systemic arterial blood pressure",21017,1524,"IMP,ISS,IEA","CORIN,NA,NA","CORIN,character(0),character(0)","ENSG00000145244,NULL,NULL","GO:BP - regulation of systemic arterial blood pressure"
"query_1",TRUE,0.0180687062853883,93,1,1,1,0.010752688172043,"GO:0050886","GO:BP","endocrine process",21017,13330,"IMP,ISS,IEA","CORIN,NA,NA","CORIN,character(0),character(0)","ENSG00000145244,NULL,NULL","GO:BP - endocrine process"
"query_1",TRUE,0.0220381819759355,127,1,1,1,0.0078740157480315,"GO:0003014","GO:BP","renal system process",21017,1465,"ISS,IEA","CORIN,NA","CORIN,character(0)","ENSG00000145244,NULL","GO:BP - renal system process"
"query_1",TRUE,0.0276425257155145,234,1,1,1,0.00427350427350427,"GO:0060047","GO:BP","heart contraction",21017,14310,"TAS","CORIN","CORIN","ENSG00000145244","GO:BP - heart contraction"
"query_1",TRUE,0.0276425257155145,245,1,1,1,0.00408163265306122,"GO:0003015","GO:BP","heart process",21017,1466,"TAS","CORIN","CORIN","ENSG00000145244","GO:BP - heart process"
"query_1",TRUE,0.0276425257155145,212,1,1,1,0.00471698113207547,"GO:0044706","GO:BP","multi-multicellular organism process",21017,11119,"IMP,IEA","CORIN,NA","CORIN,character(0)","ENSG00000145244,NULL","GO:BP - multi-multicellular organism process"
"query_1",TRUE,0.0276425257155145,203,1,1,1,0.00492610837438424,"GO:0044703","GO:BP","multi-organism reproductive process",21017,11118,"IMP,IEA","CORIN,NA","CORIN,character(0)","ENSG00000145244,NULL","GO:BP - multi-organism reproductive process"
"query_1",TRUE,0.0276425257155145,243,1,1,1,0.00411522633744856,"GO:0042445","GO:BP","hormone metabolic process",21017,10185,"IDA,IEA","CORIN,NA","CORIN,character(0)","ENSG00000145244,NULL","GO:BP - hormone metabolic process"
"query_1",TRUE,0.0276425257155145,253,1,1,1,0.00395256916996047,"GO:1903522","GO:BP","regulation of blood circulation",21017,23072,"TAS","CORIN","CORIN","ENSG00000145244","GO:BP - regulation of blood circulation"
"query_1",TRUE,0.0276425257155145,241,1,1,1,0.004149377593361,"GO:0016485","GO:BP","protein processing",21017,5233,"IDA,IEA","CORIN,NA","CORIN,character(0)","ENSG00000145244,NULL","GO:BP - protein processing"
"query_1",TRUE,0.0276425257155145,186,1,1,1,0.00537634408602151,"GO:0008217","GO:BP","regulation of blood pressure",21017,3144,"IMP,ISS,IEA","CORIN,NA,NA","CORIN,character(0),character(0)","ENSG00000145244,NULL,NULL","GO:BP - regulation of blood pressure"
"query_1",TRUE,0.0276425257155145,200,1,1,1,0.005,"GO:0008016","GO:BP","regulation of heart contraction",21017,3097,"TAS","CORIN","CORIN","ENSG00000145244","GO:BP - regulation of heart contraction"
"query_1",TRUE,0.0276425257155145,181,1,1,1,0.00552486187845304,"GO:0007565","GO:BP","female pregnancy",21017,3043,"IMP,IEA","CORIN,NA","CORIN,character(0)","ENSG00000145244,NULL","GO:BP - female pregnancy"
"query_1",TRUE,0.0476213133585738,452,1,1,1,0.00221238938053097,"GO:0043603","GO:BP","amide metabolic process",21017,10795,"IDA,IEA","CORIN,NA","CORIN,character(0)","ENSG00000145244,NULL","GO:BP - amide metabolic process"
"query_1",TRUE,0.049512042374963,593,1,1,1,0.00168634064080944,"GO:0003013","GO:BP","circulatory system process",21017,1464,"IMP,ISS,TAS,IEA","CORIN,NA,NA,NA","CORIN,character(0),character(0),character(0)","ENSG00000145244,NULL,NULL,NULL","GO:BP - circulatory system process"
"query_1",TRUE,0.049512042374963,598,1,1,1,0.00167224080267559,"GO:0055080","GO:BP","monoatomic cation homeostasis",21017,14233,"ISS,IEA","CORIN,NA","CORIN,character(0)","ENSG00000145244,NULL","GO:BP - monoatomic cation homeostasis"
"query_1",TRUE,0.049512042374963,531,1,1,1,0.00188323917137476,"GO:0098771","GO:BP","inorganic ion homeostasis",21017,18886,"ISS,IEA","CORIN,NA","CORIN,character(0)","ENSG00000145244,NULL","GO:BP - inorganic ion homeostasis"
