"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NT5M",302.994806391476,-0.931575840850894,0.0737911176957833,-12.6244983128115,1.54724362719835e-36,2.93047942991368e-32
"MARK4",5159.89191103394,-0.689575527938763,0.0561105561384622,-12.2895864057579,1.03031818635016e-34,9.75711322473601e-31
"EGR1",673.142778850599,-1.9890011744315,0.169268613776013,-11.7505610169613,7.0151549361584e-32,4.42890114969467e-28
"FEZ1",10011.0343845238,-0.471954087708402,0.042335302462409,-11.1480032090822,7.32312740348376e-29,3.46750082554956e-25
"PPM1J",76.002500121764,-2.13203163071908,0.191940526593264,-11.1077721237944,1.14992711223745e-28,4.35592390115546e-25
"HABP4",1213.07707247075,-0.64646418584772,0.0602010810395137,-10.7384149036029,6.7188013509739e-27,2.12090162645743e-23
"FKBP8",9539.55976591137,-0.491214821820134,0.046430549246352,-10.5795608665717,3.70691493640492e-26,1.00298526993585e-22
"TEX261",1542.52311095737,1.00460688321351,0.0966066321463493,10.3989432287799,2.50697998341445e-25,5.93527511073372e-22
"PHF1",2292.15709481259,-0.761479023127795,0.074952080700877,-10.1595448185988,3.00475956215723e-24,6.32334956747311e-21
"TRAK2",2263.26839140972,0.90248128217048,0.0892324927781281,10.1138190144979,4.79768065115816e-24,9.08680715329356e-21
"ACBD4",181.650819549547,-1.24864659871076,0.123978308323291,-10.0714924699145,7.38488304318087e-24,1.27154258943496e-20
"ZNF710-AS1",796.287076921789,-0.925911331116503,0.0922826932693513,-10.033423368063,1.08681737525283e-23,1.71536009060738e-20
"GNAO1",13327.3036761193,-0.486633265364383,0.0493421689920939,-9.86242144001322,6.05707213802161e-23,8.82468817647149e-20
"NCLN",1869.14838106925,0.609186509758493,0.0634301764865715,9.60404879036497,7.68643467461849e-22,1.03986480526624e-18
"TNK2",1452.87175865439,-0.517945242499214,0.0543736235979348,-9.52567087176598,1.63979312857508e-21,2.0705121236808e-18
"RARS1",1867.91794928457,0.529769319421513,0.056387028327933,9.39523388855511,5.7090839432168e-21,6.75812811778288e-18
"SFPQ",12590.0235751571,0.951275942727086,0.106216817352855,8.95598236169068,3.36723833350221e-19,3.75149964920775e-16
"KCTD13",2596.68049980605,-0.573724145359166,0.0645376698804067,-8.88975611332609,6.12431845717837e-19,6.4441439766088e-16
"BCAS4",237.199395573912,-1.19247936429852,0.134472298223536,-8.86784400989593,7.45756984968268e-19,7.43401962910474e-16
"HNRNPM",11820.9967181298,0.930901085385011,0.105716321454386,8.8056515075269,1.30094671338052e-18,1.23199653757135e-15
"JPH4",5456.41413058861,-0.593379421017405,0.0685333902197823,-8.65825284747295,4.79049985536398e-18,4.32057463145684e-15
"SPRY2",1148.1679601342,-0.591901635661436,0.0696542968063132,-8.49770456095953,1.93376525344006e-17,1.66479608637067e-14
"MPDU1",1211.72545199761,0.766252455650434,0.0905290837623246,8.46415785740366,2.5801016716921e-17,2.12465763747167e-14
"POU6F1",1000.44353496423,-0.630947811617141,0.0746970625457903,-8.44675533566479,2.99510502514252e-17,2.36363704900831e-14
"PLCD3",598.9322856729,-0.780577262312525,0.093365313949097,-8.36046310236902,6.24725352834507e-17,4.73291927307423e-14
"DIRAS1",6827.87287567178,-0.551773305275672,0.0663018543772747,-8.32213986257366,8.63892855770621e-17,6.29312718780599e-14
"FBXL5",2579.92158337813,-0.382359219806536,0.0460202294499791,-8.30850311648565,9.69168323193982e-17,6.79853631159038e-14
"MAT2A",2409.21596738412,0.704301060866571,0.0848604350951085,8.29952215160358,1.04530978270982e-16,7.07077403018714e-14
"PINK1-AS",195.95562949673,0.858697973363091,0.103734778199648,8.2778214622529,1.25449123002626e-16,8.19312548161979e-14
"ARHGAP33",6634.20591780133,-0.502119782394233,0.0613297271282576,-8.1872169648523,2.67335977639324e-16,1.6877811388296e-13
"SLC15A2",1215.0247462859,1.02231128839271,0.124930589488743,8.1830342158501,2.76784528416783e-16,1.6910641832948e-13
"LUC7L",1478.41883330014,0.497364393150498,0.0611315721416022,8.13596601112151,4.08666465748968e-16,2.4187946441517e-13
"NCOA5",1683.12585520402,0.890773124840045,0.110477970574626,8.06290267830676,7.45038369269323e-16,4.2760687012003e-13
"MAST2",3795.97161769609,-0.427636226864192,0.053309622859948,-8.02174549213475,1.04252975597057e-15,5.80750399355369e-13
"HMGCLL1",543.294062365834,-0.806581848868727,0.102222964765298,-7.89041729244131,3.01177761858359e-15,1.62980194559924e-12
"HHIPL1",341.25773737846,-1.44494262194911,0.183335968463855,-7.88139192792374,3.23754063268353e-15,1.7033060995285e-12
"YPEL4",223.109418748393,-0.920317741903654,0.116855232951826,-7.87570841849297,3.38817563723538e-15,1.73437963700644e-12
"CDH3",233.806933773837,-1.24593902959252,0.158468661772279,-7.8623685948894,3.76936909773127e-15,1.87873291344817e-12
"SLC30A1",1135.41353183894,0.78341083873632,0.10022307020323,7.8166717218674,5.42383091457413e-15,2.63403480825728e-12
"ADI1",529.395511681737,0.735261323121256,0.0941730680524359,7.8075540951035,5.83084527192707e-15,2.76090523625747e-12
"CERS5",2014.10475114546,0.521201458803607,0.0671953790687463,7.75650745671627,8.73001789734016e-15,4.03284241403958e-12
"PEX6",753.54824936626,-0.825344577344245,0.107056721141909,-7.70941393067892,1.26396831171628e-14,5.69989519616819e-12
"OXR1",2408.5658327532,-0.525780677395993,0.068238812803124,-7.70500915531641,1.30833910921809e-14,5.762777378742e-12
"IQSEC2",1022.64951764502,-0.708585932343151,0.0921193936264453,-7.69203860824951,1.44808903091778e-14,6.23336505581427e-12
"BSDC1",3712.57655054529,-0.398510476076112,0.0520910545777524,-7.6502670046982,2.00562428307538e-14,8.44144976032172e-12
"MFSD1",960.090916449194,0.888701540221985,0.116451577222741,7.63151140943444,2.32017302718505e-14,9.55306024671408e-12
"DNAJB12",1258.2092377692,0.670915334127755,0.0881261757554021,7.61312207612309,2.67552859250661e-14,1.0781810966399e-11
"GLYR1",4725.12149966872,0.307152606294369,0.0404568930437539,7.59209576380927,3.14772236851002e-14,1.24203878457458e-11
"IARS1",4939.65331572536,0.434411030450611,0.05742493703829,7.56484992157593,3.88312666412758e-14,1.50094732690972e-11
"CAPN5",1528.89193229345,-0.613924256386743,0.0813636536813953,-7.54543618199294,4.50776213266158e-14,1.70754029585221e-11
"MAP4K3-DT",335.626317240267,-0.904603383595357,0.12090632717585,-7.48185313974244,7.32818131923808e-14,2.72148537620332e-11
"C17orf58",651.851519885178,-0.524321940685799,0.0703182382093053,-7.45641463776626,8.89086519165174e-14,3.23832666788238e-11
"SLTM",3877.77780880157,0.388305202446993,0.0522847397100097,7.42674066277608,1.11306286985881e-13,3.97762467077847e-11
"JADE2",463.329274302658,-0.644837779777969,0.0871920202712823,-7.39560544384305,1.40765404647628e-13,4.93721622967791e-11
"FBXL19-AS1",151.308008290103,1.39718137709703,0.189217871063437,7.38398212200907,1.53624084092341e-13,5.29025482310717e-11
"ZMPSTE24",1820.11046652389,0.787206559264094,0.107223675795664,7.3417233033894,2.10860978784588e-13,7.13161953246445e-11
"CDKN1A",7679.16444786993,-0.663975472855648,0.0906132833588795,-7.32757326788316,2.34357551852859e-13,7.78724917911078e-11
"PIGW",300.105339311445,0.900644028978107,0.123409724511057,7.29799886148693,2.92079109258663e-13,9.53789367130876e-11
"PPP1R9B",5752.75335027139,-0.406690623631092,0.0557934017642643,-7.28922436651959,3.11744518767242e-13,1.00075274329688e-10
"PRPF4B",2148.20333506683,0.451399911340588,0.0621967658211895,7.25761067124173,3.93987603256e-13,1.24368753427811e-10
"FCHSD2",2370.42758082672,-0.437986745590027,0.0604183005699566,-7.2492397412419,4.19117464442406e-13,1.30101018733455e-10
"GOLGA1",895.102744174425,0.553395315218067,0.0763627580015428,7.24692677033595,4.26334314763424e-13,1.30101018733455e-10
"PPP2R5B",2981.93213234744,-0.652399702311878,0.090049494646629,-7.24490131645953,4.32754180581186e-13,1.30101018733455e-10
"COASY",1267.56965941296,-0.40434601644519,0.0558649737863126,-7.23791651620283,4.55629742463498e-13,1.34837926910291e-10
"PDE4A",962.984304879647,-0.777133109642108,0.107854844502437,-7.20536117990093,5.78901951342769e-13,1.68683122437416e-10
"IKBIP",700.256297348397,0.782565295619187,0.10872726189935,7.19750761629235,6.13231249549817e-13,1.7597878585566e-10
"PAIP2B",872.320424752176,-0.596616965122458,0.0831357873759399,-7.17641564425868,7.15627718874661e-13,2.0229834321621e-10
"GBA2",1809.16678537002,-0.422985621030387,0.0591763370187678,-7.14788448119453,8.81254214179783e-13,2.45455217890663e-10
"TP53INP2",2674.08543289865,0.505008475217596,0.0708604501118148,7.12680309567204,1.02726881871984e-12,2.8197784676165e-10
"TMEM165",1402.44657588356,0.758128674972608,0.106527770350644,7.1167233903157,1.10522979681131e-12,2.99043605022947e-10
"ZNF326",2043.86018268449,0.452316267747127,0.0639217956756675,7.07608825700285,1.48280446343014e-12,3.9555375404742e-10
"WHRN",775.353057750581,-0.805949102410921,0.114032977242014,-7.06768447078641,1.57540250156712e-12,4.1441838027335e-10
"CLIP3",9141.3335394452,-0.413179498982384,0.0586653147331263,-7.0429946700529,1.88151428866547e-12,4.88162748319506e-10
"PALM",10958.3067484968,-0.384165827049192,0.0546742883186566,-7.02644403545171,2.1186350048611e-12,5.42256040433368e-10
"ICAM5",734.895015527442,-0.90245991519251,0.128496469921039,-7.02322729758311,2.1680107986154e-12,5.4749499367701e-10
"CPNE5",760.62156028027,-0.840270652575584,0.119847269814408,-7.01117892695263,2.3631827951105e-12,5.88930028149906e-10
"PSD",6062.06471701533,-0.666759732196296,0.095236824028761,-7.0010706362377,2.54013827882319e-12,6.24808038972872e-10
"DNAJA1",15423.8013968804,0.260948440072314,0.0373208928886335,6.99202028341042,2.70955694527294e-12,6.51228106516122e-10
"EPM2A-DT",320.586215582166,-0.752069589878466,0.107566503978941,-6.99167084602569,2.71631575579586e-12,6.51228106516122e-10
"TTBK2",1693.79356776898,-0.484926609411724,0.0693805444091385,-6.98937452194238,2.76114435014123e-12,6.53700924895937e-10
"ARAP3",170.058710895418,-1.2468302383191,0.178657764447097,-6.978875181707,2.97552681794761e-12,6.95758986813924e-10
"LINC01234",58.3707636441573,-1.31762915070472,0.190384868040191,-6.9208712029916,4.48874464997606e-12,1.03679053256764e-09
"GPRIN1",4907.49083671279,-0.552559533611649,0.080024401231937,-6.90488807295353,5.02430258635411e-12,1.14650952994635e-09
"DPF1",3253.80963831866,-0.532895279333806,0.0771957506482599,-6.90316856638815,5.08552230648362e-12,1.14666419624762e-09
"KLHL36",2382.50055979812,-0.558550370401302,0.0809560745743591,-6.89942506893991,5.22134202779264e-12,1.16343785889874e-09
"KLHDC2",1299.53329965237,-0.510506089591271,0.0742188201737535,-6.87839133519135,6.05321969907201e-12,1.33311605930726e-09
"ACTR1B",1789.34152632482,-0.640522246655404,0.093233096489804,-6.87011662994001,6.41494356395045e-12,1.39654058737036e-09
"MTA1",2551.87232158789,-0.342330964774973,0.0499952354589101,-6.84727177765422,7.52716372901294e-12,1.60204776643498e-09
"YPEL5",2452.64710901795,-0.37501141909312,0.0547681482743638,-6.84725394063867,7.5281019647684e-12,1.60204776643498e-09
"NRAV",337.667688128921,0.668250238597086,0.0976789742562423,6.84129049967353,7.84829185882003e-12,1.65162942006724e-09
"BBC3",1257.72359230087,-0.803686375138756,0.118117534525307,-6.80412420026056,1.01665803075951e-11,2.11598935193243e-09
"TARS1",3747.67051276,0.360481071775278,0.0533835002676478,6.75266833324793,1.45150500203177e-11,2.98820703679149e-09
"HSPA8",46824.6326251303,0.472857445430531,0.0702953653671688,6.72672292064617,1.73526720516307e-11,3.53397428664393e-09
"ZDHHC6",1165.10331406971,0.573314553682271,0.085400861997612,6.71321741106433,1.90379125146015e-11,3.835936840708e-09
"SRSF1",1997.40186448608,0.653283169401264,0.0974253338726891,6.70547529511106,2.00751855590601e-11,4.0023580472484e-09
"FIG4",1428.94953893792,-0.3943889494608,0.0588339673321409,-6.70342265437106,2.03593481510792e-11,4.01672972897333e-09
"KIN",548.381091891361,0.420898063426494,0.0628517712377496,6.69667783640277,2.13210945658536e-11,4.16310856780688e-09
"ALG8",675.40395512925,0.450921036765768,0.0675247119066848,6.67786687322583,2.42445113355312e-11,4.68562290505062e-09
