"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EGR1",673.142778850599,-1.9890011744315,0.169268613776013,-11.7505610169613,7.0151549361584e-32,4.42890114969467e-28
"PPM1J",76.002500121764,-2.13203163071908,0.191940526593264,-11.1077721237944,1.14992711223745e-28,4.35592390115546e-25
"TEX261",1542.52311095737,1.00460688321351,0.0966066321463493,10.3989432287799,2.50697998341445e-25,5.93527511073372e-22
"ACBD4",181.650819549547,-1.24864659871076,0.123978308323291,-10.0714924699145,7.38488304318087e-24,1.27154258943496e-20
"BCAS4",237.199395573912,-1.19247936429852,0.134472298223536,-8.86784400989593,7.45756984968268e-19,7.43401962910474e-16
"SLC15A2",1215.0247462859,1.02231128839271,0.124930589488743,8.1830342158501,2.76784528416783e-16,1.6910641832948e-13
"HHIPL1",341.25773737846,-1.44494262194911,0.183335968463855,-7.88139192792374,3.23754063268353e-15,1.7033060995285e-12
"CDH3",233.806933773837,-1.24593902959252,0.158468661772279,-7.8623685948894,3.76936909773127e-15,1.87873291344817e-12
"FBXL19-AS1",151.308008290103,1.39718137709703,0.189217871063437,7.38398212200907,1.53624084092341e-13,5.29025482310717e-11
"ARAP3",170.058710895418,-1.2468302383191,0.178657764447097,-6.978875181707,2.97552681794761e-12,6.95758986813924e-10
"LINC01234",58.3707636441573,-1.31762915070472,0.190384868040191,-6.9208712029916,4.48874464997606e-12,1.03679053256764e-09
"HAR1A",116.895540248639,-1.13849093439932,0.172403402523969,-6.60364539058933,4.01168474855521e-11,7.30589510938804e-09
"OXCT1-AS1",53.2772356443046,-1.16787452223438,0.184131176497845,-6.34262238718735,2.25886629518162e-10,3.21676147599548e-08
"TRIM7",142.133575424205,-1.39112262592482,0.220087373565572,-6.32077435151158,2.60255825984295e-10,3.59798930229383e-08
"RSPH4A",84.6165783237734,1.5660997450321,0.248621734079324,6.29912646547797,2.99327705010463e-10,4.0494762377844e-08
"MEF2C-AS2",223.962081562745,-1.28270460283216,0.205133522194031,-6.25302285610287,4.02583192901032e-10,5.33211585562626e-08
"RASD2",271.977688765865,-1.28957257077308,0.207166215827689,-6.22482080691034,4.82106706703011e-10,6.16966285469934e-08
"CMKLR2",176.361619730582,1.27077775533942,0.204512377894057,6.21369605314411,5.1752589655273e-10,6.49135131172763e-08
"GAL3ST1",87.6880265151138,-1.08908988324303,0.176055602391143,-6.18605638475169,6.16879506672661e-10,7.63640382769948e-08
"UNC5C",1617.96026189895,1.55970104301413,0.255397633324305,6.10695182532728,1.01551874086029e-09,1.18727931801815e-07
"PDZD7",234.167629944388,-1.19122325385808,0.195326259103674,-6.0986334316975,1.06979078255969e-09,1.24305751053255e-07
"OTOF",74.7318965014493,-1.62717182094278,0.269812215622261,-6.03075667715814,1.63193745538991e-09,1.77637329914281e-07
"WDR86",450.454457849101,-1.34622658198884,0.225439999562083,-5.97155156406976,2.35007758405458e-09,2.42128155791602e-07
"ERMAP",110.042608170964,1.08171177019148,0.181817587226314,5.94943419222168,2.69070995423496e-09,2.71074715602182e-07
"FOXJ1",209.937767135858,1.70857405109334,0.294815985155304,5.79539148867146,6.81619885867472e-09,5.92196359556419e-07
"N4BP2L1",101.992962283544,-1.16100962371425,0.204446238371057,-5.67880159089593,1.35641704708171e-08,1.04859342333582e-06
"NGEF",867.889917936534,-1.01114500391544,0.178655904368423,-5.65973460261501,1.51607267248573e-08,1.13495717062766e-06
"C11orf96",223.857799819742,-1.70558189430041,0.30367164125948,-5.61653332931091,1.94826683547851e-08,1.39245939109294e-06
"FOXD4",125.066178504818,1.23905097104086,0.222069301649788,5.57956890860536,2.41115411653474e-08,1.65304590703442e-06
"MT1G",6.90203502720442,4.49925828355845,0.811878785082346,5.54178575204685,2.99402495782296e-08,1.96217414190889e-06
"TLL2",145.122010436424,1.29613069810675,0.234777038472172,5.52068765557915,3.37675553821012e-08,2.1606672261385e-06
"KREMEN2",103.343968612968,-1.22118706771668,0.221774405078735,-5.50643825324718,3.66166311618562e-08,2.32724494699851e-06
"LUM",153.93964488063,2.10912995967957,0.383650345197981,5.49753176578314,3.85143951987662e-08,2.43154215021544e-06
"ARHGEF28",122.072144814612,-1.0174971985768,0.18554804806576,-5.48373970614979,4.1642736265942e-08,2.60301460355426e-06
"SYNPO",255.17169301884,-1.03183518212528,0.190947545787549,-5.40376247240861,6.52573483279504e-08,3.74537629494358e-06
"YPEL3",907.538564072004,-1.04423702995695,0.193842594805043,-5.387035965997,7.16291048125834e-08,4.02568322003065e-06
"JAKMIP2-AS1",27.9472085824908,3.4273301255237,0.636781965651207,5.38226631782628,7.35538321684917e-08,4.10946779136057e-06
"MT1F",10.2047983278717,3.02925796375913,0.565495867712368,5.35681715237559,8.47007592871349e-08,4.63982209888114e-06
"ERVK-28",27.4531273786874,-1.80607321628288,0.338938921727204,-5.32860967126255,9.8967430118913e-08,5.32512251833015e-06
"SMTNL2",121.049440311017,-1.11503408227374,0.210335830631259,-5.30120844806756,1.15038648159319e-07,6.01887291750692e-06
"ARC",238.556512200766,-1.02593742139222,0.19457697432721,-5.27265584707345,1.34463568266976e-07,6.8645282560014e-06
"PACSIN1",737.779116755253,-1.01862910399425,0.194128556440416,-5.24718837182975,1.54437971140647e-07,7.80014712907693e-06
"GOLGA8Q",15.1860770647546,-1.89918814890163,0.363242464263706,-5.22843096759431,1.70954641563222e-07,8.54322140160269e-06
"DUSP9",175.500607306277,-1.0110155409445,0.193706294999052,-5.21932207184826,1.79579241970158e-07,8.88049828437281e-06
"TMEM54",85.2951999001042,-1.08328549453128,0.208101178320094,-5.20557117108201,1.9340080370015e-07,9.4407505723733e-06
"LFNG",914.955991696161,1.26586409240214,0.244772690368227,5.17159038656569,2.32109949999261e-07,1.093572749499e-05
"FOS",462.807242386933,-1.29953167852684,0.252781693522529,-5.14092480518579,2.73389458592383e-07,1.2507237550096e-05
"FAM131C",188.06780499058,-1.27773283364835,0.248653381478219,-5.13861032595801,2.76777677105899e-07,1.26013682797734e-05
"PRKCD",162.759912655211,-1.23278164196773,0.241403027129999,-5.10673646732632,3.27770365689198e-07,1.42079405824785e-05
"PRTN3",14.5940617467688,-1.97502841329698,0.386750142596599,-5.10672963178978,3.27782217645592e-07,1.42079405824785e-05
"ATP6V0D2",16.3032918717092,-2.4647359683481,0.483814550180774,-5.09438165393572,3.49881309261718e-07,1.49926515778664e-05
"RSPO2",1377.73977754997,3.21610715392811,0.634957564000283,5.06507416600627,4.08241379270994e-07,1.72206942614535e-05
"PRSS56",28.8455274705221,-1.95375667086564,0.390655664051274,-5.00122448143797,5.6967334665449e-07,2.26197341417946e-05
"FUT3",51.2702233410918,-1.47091192298279,0.294524967949163,-4.99418413734173,5.90850048079973e-07,2.33499808330833e-05
"INAFM1",568.158121597805,-1.02282134052837,0.20481471039087,-4.99388612554445,5.91762977818373e-07,2.33499808330833e-05
"ADAMTS12",163.744808606397,1.00058461884995,0.201705865921771,4.96061239606194,7.02712867148118e-07,2.66798660185576e-05
"COL24A1",46.8318199547337,2.71578406337339,0.548085830418689,4.9550342531183,7.23175483576688e-07,2.73392089000848e-05
"CYP26A1",280.853519933708,3.0257709609171,0.61517143206481,4.91858172080775,8.71735226053878e-07,3.19355225947011e-05
"CTNNA2-AS1",34.8929465290598,1.16439160054467,0.237152176044311,4.90989212060661,9.11265100969151e-07,3.30006902721907e-05
"COLEC12",206.118949526573,2.41284973534047,0.492123782529837,4.9029325974389,9.44163882183309e-07,3.39299631254355e-05
"FST",273.969624679426,1.33499529733402,0.272304897635906,4.90257541793837,9.45882815746036e-07,3.39299631254355e-05
"VGLL3",1322.34793772289,3.8911582325372,0.794097019241292,4.90010431754919,9.57857830395827e-07,3.42945695797674e-05
"SAMD15",89.0620807878805,1.09503587682769,0.223690391777692,4.89531923175298,9.81462741253185e-07,3.50734043761044e-05
"FAM13B",2082.95396755248,1.07478645329154,0.221998639622594,4.84141008755154,1.28921006475202e-06,4.4075159975457e-05
"SYDE2",51.8242521838068,-1.36707048152276,0.282984035646555,-4.83091026106581,1.35910255181304e-06,4.61315453966648e-05
"NECTIN3-AS1",47.5836746017916,-1.12185305113646,0.233171494370131,-4.81127872927579,1.4996770138707e-06,5.01835382380054e-05
"LRRN1",4485.96655701438,1.08489500265952,0.225992807822624,4.80057313819929,1.58212180075651e-06,5.25708542216285e-05
"TMEM52",46.4815491502229,-1.20534480970376,0.251114518432825,-4.79998057151841,1.58681023518158e-06,5.26343009708216e-05
