"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RANBP1",3296.73891652191,-0.925189279228415,0.0575660575489269,-16.0717846352787,4.0233443003557e-58,8.41281293204377e-54
"ESS2",762.920467831326,-0.973935567697786,0.0682874182369116,-14.2622988662257,3.75865709895427e-46,3.92967599695669e-42
"DGCR2",6594.16041040268,-1.12573001138564,0.0915443564367045,-12.2970989715132,9.38858833339601e-35,6.54384606837702e-31
"RTN4R",730.268407998634,-1.28360567182792,0.109356288336181,-11.7378313708114,8.15507958539161e-32,4.26306785326346e-28
"RTL10",901.422549301832,-1.11610004482801,0.10481820985115,-10.6479594186255,1.78229069549771e-26,7.45353968857143e-23
"UFD1",678.711413270405,-0.914592389761852,0.0877035306150548,-10.4282277275261,1.84293550151016e-25,6.4226302227629e-22
"ZNF676",58.5391585412519,7.03025049781532,0.749429761790245,9.38079971766987,6.54742124383142e-21,1.95580826012164e-17
"HIRA",389.561187181242,-1.13359070581032,0.129619374992179,-8.74553442244817,2.21962546267674e-18,5.80154605307132e-15
"PCDHB2",1964.01658432232,-1.31357298069733,0.150469446973766,-8.72983191681663,2.55051380781142e-18,5.92569374681521e-15
"ARVCF",1468.5934453928,-0.839758688191035,0.0996602535575412,-8.42621464640545,3.57026994699427e-17,7.46543445916502e-14
"MTND4LP30",578.099176962707,9.12279638868229,1.12864013024166,8.08299841928262,6.31934429939809e-16,1.20124990273104e-12
"PCDHB7",169.821268598131,2.37784065836735,0.315019427059528,7.5482349789114,4.4119639010427e-14,7.6878470975669e-11
"ZDHHC8",819.970393870229,-0.940679417773527,0.127176238718016,-7.39666015645631,1.39652347541745e-13,2.24625429776761e-10
"ANO5",623.601859813989,-0.768557393419159,0.104321744717627,-7.36718308823779,1.74271074518944e-13,2.60286297727938e-10
"ZNF98",23.2164353605248,7.44492161178899,1.02076017740951,7.29350711024279,3.0198877393891e-13,4.20972350870841e-10
"SPRN",260.841823686929,-1.17056687877212,0.161802697456731,-7.23453253358246,4.6713535414892e-13,6.1048751595337e-10
"C22orf39",1330.73149211766,-0.983809908653809,0.138478303515291,-7.10443357319996,1.2081701278849e-12,1.32962301968806e-09
"DGCR6L",985.398804631241,-1.02436972013452,0.143926949581181,-7.11728917423302,1.1007039795577e-12,1.32962301968806e-09
"TESC",90.7069874772528,1.48975356735297,0.209498974377071,7.11103036080553,1.15179796339422e-12,1.32962301968806e-09
"MTND1P23",5113.04356592771,6.47026714380319,0.917107292827954,7.05508198920951,1.72498981839799e-12,1.8034768551351e-09
"GNB1L",112.088906065539,-1.3867546478397,0.196948774158152,-7.04119461401737,1.90598570227957e-12,1.89781719212695e-09
"LRP1B",1870.92727023758,-0.920970722767458,0.135419092043767,-6.8008927608952,1.03972798794552e-11,9.88214192179125e-09
"SLC25A1",1398.4922318761,-0.755664156238986,0.111254516411801,-6.79221105453324,1.10427835298756e-11,1.0039330591726e-08
"MTND4P12",397.458743391646,2.2424742780277,0.331162763044157,6.77151699488837,1.27438987427383e-11,1.11031217796107e-08
"EFEMP1",503.758198894534,2.10913554726079,0.314981259327445,6.69606678112933,2.14103909982698e-11,1.79076510309529e-08
"PCDHB12",315.385108108625,1.80618874066904,0.274203799346253,6.58703032188208,4.48710672135784e-11,3.60866929013817e-08
"CD47",6096.35170178026,-0.607285882102046,0.0925830705060213,-6.55936208188894,5.40384458306303e-11,4.18497741599437e-08
"H19",186.979659758414,3.0838307811631,0.472935179780326,6.52062040002081,7.00171779199056e-11,5.09480664671059e-08
"PCDHB11",412.528953090907,2.18708822606652,0.335481557020328,6.51925025474351,7.06596808965122e-11,5.09480664671059e-08
"THRB",531.86980951905,2.00196554478886,0.310253634980073,6.45267393859042,1.09893636668783e-10,7.65958647581419e-08
"RGPD2",93.1462187683775,3.18765837065393,0.495528250767536,6.43284891571062,1.25234119827396e-10,8.44724337287373e-08
"MYOM1",576.838972651275,3.21255500137505,0.500471895866271,6.41905175477318,1.37125788450949e-10,8.96031323909171e-08
"PI15",5437.23564245483,1.59545856456176,0.249748787025509,6.38825350690812,1.67791015879395e-10,1.0506216561858e-07
"THBS3-AS1",58.8922193052637,1.28829092280575,0.201752395136765,6.38550497471135,1.70832789623708e-10,1.0506216561858e-07
"PCDHGA8",58.6095183888571,2.55596137222624,0.400669210432501,6.3792308110404,1.7797962670937e-10,1.0633011412837e-07
"SQSTM1",3670.86772302382,0.288850521022255,0.0454626754748294,6.35357505921925,2.10367465457024e-10,1.22188436186288e-07
"VN1R85P",7.99308775951564,6.48891122354443,1.02568480725918,6.32641838664256,2.50916911986759e-10,1.41801962963328e-07
"MRPL40",429.795675684629,-0.683841589862814,0.108326132556081,-6.31280351035135,2.74025330018887e-10,1.5078604343934e-07
"ACSL3",9571.41606766652,-0.31833958346313,0.0506349774776551,-6.28695023323772,3.23763106936233e-10,1.61187775381825e-07
"FOXB1",449.695151143875,1.37554344644722,0.218589084135899,6.29282771317175,3.11734275002169e-10,1.61187775381825e-07
"H2AJ",290.720843665369,0.93874141769803,0.149303554337461,6.28746865313238,3.22684140189841e-10,1.61187775381825e-07
"POSTN",733.6910453108,2.66146481175139,0.423095994305566,6.2904514520864,3.16544036620776e-10,1.61187775381825e-07
"RRAGD",2914.49218016629,0.293481088484827,0.0467488353280575,6.27782673996772,3.43338202325352e-10,1.66958181642398e-07
"TLCD2",346.680664217404,1.6760896636947,0.268911620719037,6.23286438575262,4.57982628246012e-10,2.17645835377821e-07
"ADCK2",393.353456440392,-1.1546794103084,0.185721166541325,-6.21727416326278,5.0586545842714e-10,2.29948842080685e-07
"MYBPC2",338.423571765878,6.26055344979378,1.00695500071786,6.21731204009177,5.05743406414941e-10,2.29948842080685e-07
"HSPA1A",625.895505325576,-1.45250366385598,0.235110176426223,-6.1779702007572,6.49309659331659e-10,2.88873722906915e-07
"TMEM30A",12822.4777888852,-0.333405808524856,0.0541006357206937,-6.16269668708029,7.15164148307246e-10,3.11543382106344e-07
"ENC1",21349.0662936083,-0.876277309006236,0.142713594670543,-6.14011097561615,8.24638499286802e-10,3.51901857552796e-07
"CAPN6",469.837864755492,5.10993818289304,0.834678126591108,6.1220463554765,9.23811368567468e-10,3.78762661112662e-07
"IAH1",116.061750740859,-1.19827255487268,0.195645522419615,-6.12471238826854,9.08475578013061e-10,3.78762661112662e-07
"PCDHB8",150.971533119003,2.25042983267479,0.369868139645238,6.08441114942561,1.16920218025635e-09,4.70154184406928e-07
"SNTB1",320.891559468474,1.48776622282229,0.244902446792849,6.07493409031031,1.24038656843708e-09,4.89367606528668e-07
"OSBPL3",316.808075734503,1.21518856550734,0.200822672943309,6.05105264110483,1.43902411546218e-09,5.57222115820632e-07
"CA2",308.294885940073,1.71291972873909,0.283641816384376,6.03902397246614,1.55049211356327e-09,5.89468910811056e-07
"CKM",935.237449068176,5.11168628467999,0.84746095127149,6.03176615631748,1.62177344221295e-09,6.05558619226298e-07
"RGPD8",143.598370331675,-0.837112677986538,0.140157159279456,-5.9726715516361,2.33399502091633e-09,8.56207647146676e-07
"NEB",1523.51566337098,4.91890741439665,0.826724763799748,5.9498730772121,2.68350500853653e-09,9.67449822905154e-07
"NPTX1",1246.88295548312,-1.14447168899239,0.192551254830185,-5.94372490587884,2.78617030807986e-09,9.87437646473728e-07
"ZNF702P",227.807129855357,-1.47034180669801,0.247708118791745,-5.93578367099937,2.92445199931633e-09,1.01917152176174e-06
"PCDHB13",260.17009811429,1.16782774157319,0.19696425080727,5.92913555016595,3.0453362124982e-09,1.04390131480881e-06
"SPATS2L",1442.02972279738,0.849113498773881,0.143765465192952,5.90624109645708,3.50001648012941e-09,1.180408783863e-06
"TCEANC2",906.879717757255,0.40634042254462,0.0688319048410833,5.90337320291752,3.56143369417296e-09,1.18205680230407e-06
"PPIL3",924.111812003325,-0.399628260641658,0.0677386467255452,-5.89956073762177,3.64470589827687e-09,1.19079375520265e-06
"IGF2",10301.9234778406,4.41778152091353,0.75223411521947,5.87288110380983,4.28285650543074e-09,1.37776199274703e-06
"BTN3A2",198.373577697254,1.15302206312745,0.19766910284313,5.83309200347052,5.44095464879183e-09,1.62704439739835e-06
"EDEM3",2931.58516033128,-0.393521165272049,0.067476076089899,-5.83201021867006,5.47635642990556e-09,1.62704439739835e-06
"KANK1",612.372810095784,1.40301535912273,0.240453920087419,5.83486165920127,5.38352153766302e-09,1.62704439739835e-06
"SERPINF1",859.098493435687,2.38606934220412,0.409236016091696,5.83054581801394,5.52463664348554e-09,1.62704439739835e-06
"XIST",79.3956229207048,7.40475758865131,1.2699412783828,5.83078738733561,5.51664385857982e-09,1.62704439739835e-06
"ZDBF2",1822.30376339246,1.03445729072645,0.177163120201338,5.83901034002356,5.25118109970697e-09,1.62704439739835e-06
"CEBPB-AS1",81.7509427326279,1.26016649454373,0.216800965201294,5.81255020416396,6.15282224865594e-09,1.78688212804716e-06
"IMPG2",155.401805079174,3.30847038402639,0.570855438564772,5.79563609369203,6.80627071039476e-09,1.94957699389527e-06
"PCDHB3",319.530890775742,-0.671344798282744,0.116139722553106,-5.78049252679907,7.4482246845853e-09,2.09365459838269e-06
"PCDHB6",268.443857760642,1.53005531339924,0.264756054639914,5.77911358998087,7.50952151500247e-09,2.09365459838269e-06
"SLC7A5",6837.87717683042,-0.484948623978873,0.0841138272494629,-5.76538530984475,8.14714907633664e-09,2.2415379892921e-06
"PCDHGB6",3331.75322058825,-2.34154155393757,0.408676325884219,-5.72957474077161,1.00682720880714e-08,2.73412427742304e-06
"KCNMB4",1173.77702717117,-0.468528642656258,0.0819465850739798,-5.71748831550795,1.08110106762234e-08,2.89818247743374e-06
"ZCCHC24",488.616100817979,1.02807701576987,0.179886706505862,5.71513613061993,1.09616236873211e-08,2.9013614088846e-06
"KAT2B",976.864190745066,0.314885059826902,0.0551187756421959,5.71284568929799,1.11102417770125e-08,2.90393944446665e-06
"CCND1",2495.30813044585,2.75840671934296,0.483696564547711,5.70276268536715,1.1788104747777e-08,3.04307741081502e-06
"MED15",1260.00929768411,-0.75628958985981,0.132950271141823,-5.68851483614536,1.28148980423341e-08,3.26779900079519e-06
"HLA-A",1599.72808404273,-1.31436387481918,0.231295523856366,-5.68261699536995,1.3264910968995e-08,3.34179865496006e-06
"ATP2A1",774.130296369237,4.75927760257065,0.83861479340556,5.67516533215869,1.38554770971731e-08,3.4490241202606e-06
"FKBP9",1702.32794868871,-0.971130947623232,0.171507958430292,-5.66230836464619,1.49350125268287e-08,3.59850877696685e-06
"HERC5",126.633251016848,1.66325760538096,0.293806986066165,5.66105533313085,1.50444903131893e-08,3.59850877696685e-06
"MAL",34.7224910528624,2.19975092697587,0.388654076519193,5.65991986158221,1.51443697930695e-08,3.59850877696685e-06
"MYO3A",52.969425832715,-1.77774590099789,0.314081727980011,-5.66013792789318,1.51251381900306e-08,3.59850877696685e-06
"ZNF257",23.4472411011536,4.49272270621647,0.794534551734126,5.65453408717191,1.56269583999487e-08,3.67145730497672e-06
"MSC-AS1",24.2377111771208,3.14056048692147,0.556339698400005,5.64504114294468,1.65141751743533e-08,3.83679336550807e-06
"NID2",164.884218345377,3.8152867829928,0.67825378722237,5.62516104571626,1.85334985837384e-08,4.21234190636924e-06
"TTN",1877.6116414824,3.74741635190788,0.666091570023351,5.62597774924025,1.84460124176163e-08,4.21234190636924e-06
"PCDHGA4",80.7891885710775,1.28825604443381,0.229699805233878,5.60843333376849,2.04166313332136e-08,4.54161448061167e-06
"PURPL",275.481809915503,3.33455368371648,0.594441985135555,5.60955276898229,2.02850139851603e-08,4.54161448061167e-06
"KAZALD1",98.6726187860896,3.13883028991462,0.560024407493391,5.60480980456492,2.08483770918575e-08,4.58883752621831e-06
"ELAPOR1",800.362226568581,-1.30814857996068,0.233742298107919,-5.59654196330656,2.18669412633729e-08,4.70061732027815e-06
"SGCG",358.208211796952,0.82399696461161,0.147204490483227,5.59763470466614,2.17296002980803e-08,4.70061732027815e-06
"TNNC2",924.540881056345,6.50989710972962,1.16346886163874,5.59524824803689,2.20306311519492e-08,4.70061732027815e-06
"BMP4",72.8572703268232,2.75197115020619,0.493171919973628,5.58014566269984,2.40317245292507e-08,5.0757915142084e-06
"SNX18",1106.43352191725,0.411528600863059,0.0738068905017732,5.57574771224337,2.46468909019903e-08,5.15366488760617e-06
"CDH15",549.585179731027,5.34296452896719,0.95944432655486,5.56881142666456,2.56482879342533e-08,5.3099574327251e-06
"FAP",34.7238348123726,3.01128517506306,0.541450081919723,5.56151947449427,2.67435828509193e-08,5.48243448443845e-06
"EGR2",31.3132791259284,1.87846693979954,0.3383456269503,5.55191730045758,2.82553267709988e-08,5.73610565807364e-06
"SAMD11",114.565338121151,1.47655132658464,0.26619703796667,5.54683604995451,2.90885263379829e-08,5.84847197814637e-06
"MYBPC1",760.827154536799,6.37963336062286,1.15400860768494,5.52823724029325,3.23464440462308e-08,6.43438427837565e-06
"PRXL2C",107.045459188482,0.867212486399191,0.156911282960383,5.52676945875299,3.2618112554176e-08,6.43438427837565e-06
"DGCR8",1172.62447195198,-0.43151204985544,0.0783599364572608,-5.50679427989067,3.65426867532463e-08,7.07507018528129e-06
"SLC7A4",65.9030947300047,-1.96301080010155,0.356367207843657,-5.50839346857846,3.62123280978537e-08,7.07507018528129e-06
"C22orf46",2532.09594042869,0.705030310204688,0.128178714047453,5.50036966312268,3.78995821595126e-08,7.23379240698901e-06
"LRRIQ3",27.3436435684328,3.4773554340263,0.632286571320029,5.49965093638886,3.80543837766041e-08,7.23379240698901e-06
"DDR2",1863.32497031472,1.33010548708928,0.242459051967156,5.48589741771925,4.11375581868809e-08,7.63316672132356e-06
"STING1",43.7361301434645,3.19798465584432,0.582994816234549,5.48544269484158,4.1243524330802e-08,7.63316672132356e-06
"ZNF729",6.23950751621206,6.13335469652159,1.11812089501326,5.48541282420884,4.12504944767844e-08,7.63316672132356e-06
"CEBPZOS",1042.19184616752,1.15061145714644,0.210051753446465,5.47775221233606,4.30762769344209e-08,7.76487026464432e-06
"COL15A1",305.158896081348,3.63913238320632,0.664187861793158,5.47907089626943,4.27565030207356e-08,7.76487026464432e-06
"PPIEL",155.700179276934,1.02358333447286,0.186774198631102,5.48032513042415,4.24544941533336e-08,7.76487026464432e-06
"CACNG1",103.507076199217,4.15490120152319,0.759686944428978,5.46922812349531,4.51999681300723e-08,8.0198912788522e-06
"TNFRSF10D",227.175516439982,-2.32712801406204,0.425512509251268,-5.46900023728293,4.5258114342638e-08,8.0198912788522e-06
"CDH24",1097.40203871262,-0.325041821731709,0.0595263278841452,-5.46047158098398,4.74871503878805e-08,8.3441707110133e-06
"TNNI1",802.52244618562,4.90361196452413,0.900553162610004,5.44511103632391,5.1773079343919e-08,9.02145907567789e-06
"CLDN4",49.3131836697769,2.83360012241169,0.520878797610096,5.44003736649074,5.32693971947688e-08,9.0557975231107e-06
"CMKLR2",500.798102702516,1.62502387908664,0.298707734769947,5.44018011565107,5.32267305851291e-08,9.0557975231107e-06
"KCNH1",81.7012163748853,-0.937711022983422,0.172285653139193,-5.44276906345663,5.24586373233248e-08,9.0557975231107e-06
"GLIS3",509.284581362405,0.988615691713259,0.181807250124671,5.43771324320307,5.39687403280492e-08,9.10069645370572e-06
"TRPM2",89.8517419678033,-2.83624412754244,0.522915510342581,-5.42390514613787,5.83108332206286e-08,9.75423618114676e-06
"DHRS1",369.637662258616,0.563472429747557,0.104150627524853,5.41016836036918,6.29655254077535e-08,1.04492788593343e-05
"LGR5",130.949681587669,1.9998088091707,0.369752789992382,5.40850228395006,6.35539771085678e-08,1.04638870971666e-05
"OSR1",16.1700631181742,3.23238614822551,0.59952871059096,5.39154521063607,6.98543787216591e-08,1.13229074346503e-05
"UBTD1",245.661623974789,0.81296211980504,0.150769550486192,5.39208425828326,6.96450950848037e-08,1.13229074346503e-05
"ACVR1B",7509.440475537,-0.57386047506837,0.106632336379236,-5.3816740264177,7.37963116041268e-08,1.18698528895561e-05
"IGFBP3",923.060188881499,2.07213002289809,0.386448535247972,5.36198182655413,8.23138231534959e-08,1.31387942148061e-05
"SST",735.718743084385,-1.72850854621518,0.322742168246082,-5.35569478140594,8.52282758856238e-08,1.35009337027909e-05
"COL3A1",15555.3716013823,5.27657275883865,0.987342832134701,5.34421539013996,9.0809535663027e-08,1.41535748962408e-05
"SLC24A2",738.078413026246,-1.71564622358905,0.321096681548551,-5.34308300950049,9.13788910087281e-08,1.41535748962408e-05
"SYPL2",106.901763687172,3.02646701606061,0.566146069722204,5.34573527560765,9.00507408022934e-08,1.41535748962408e-05
"TYR",40.0904730847547,8.52555862836535,1.59819494211657,5.33449230985208,9.58122481584733e-08,1.47311331543653e-05
"EGR1",578.730531313566,1.74116790067399,0.327109962002789,5.32288252553783,1.02135707819326e-07,1.55887419744679e-05
"COL1A1",5045.31914837994,4.5579986943123,0.858057247393197,5.31199836393158,1.08429577288272e-07,1.64294381238968e-05
"ICAM1",128.765971523168,2.82392993662861,0.532111874935444,5.30702295822888,1.11430147786098e-07,1.67626215122829e-05
"TPM2",3241.85990508301,5.18157163710619,0.977414245582099,5.30130562402464,1.1497742169861e-07,1.71726991979852e-05
"SEMA4D",1729.50949224663,-0.786935010457755,0.148693166805791,-5.29234145295713,1.20760150218072e-07,1.79084733408502e-05
"SALL4",128.988866889797,3.01597500785803,0.57012526599799,5.29002166318421,1.2230187331474e-07,1.80093814859945e-05
"GBP2",86.5930549375853,1.39158125026997,0.263459186063874,5.28196139622398,1.2780813309351e-07,1.85588059929535e-05
"RARRES2P2",4.64263523794357,4.1786443959671,0.790928253933518,5.28321548153765,1.26935938625102e-07,1.85588059929535e-05
"NPPC",477.262545398197,1.70368781146033,0.322774312465087,5.27826331175165,1.30413976173503e-07,1.88065947709514e-05
"TXNRD2",77.1939053659487,-2.04445020566987,0.387442617234198,-5.27678194067653,1.31472173882531e-07,1.8829336684135e-05
"STYXL2",120.289128441154,4.67700955260292,0.891254286595749,5.24767131327616,1.54033793330901e-07,2.19105212146201e-05
"TRIM54",48.115835377533,3.94400094670336,0.752225335480884,5.24311102095761,1.5789146828447e-07,2.23075040664072e-05
"FPGT",246.963853723568,1.4109666123677,0.269733276660481,5.23096975588856,1.68623098603909e-07,2.3506059945385e-05
"PLA2G3",45.7473052332637,-2.09056945424839,0.399628890398926,-5.23127707849525,1.68342958110898e-07,2.3506059945385e-05
"ERBB3",383.342115967901,3.3985823231468,0.650486091220851,5.22468100243043,1.74455602356185e-07,2.41580572534293e-05
"RFPL2",103.311814750764,-2.68577831181606,0.514285375352388,-5.22235015914223,1.7666649815542e-07,2.42884999616895e-05
"STAC3",257.067348596233,3.4939751577495,0.669183828767427,5.22124864282072,1.77720731426996e-07,2.42884999616895e-05
"TRIM72",188.314682529281,2.62317912773132,0.502991564636139,5.21515530708534,1.8366328852623e-07,2.49376582018407e-05
"PI4KA",2655.56891370054,-1.0831623395192,0.207976122342894,-5.20810912001414,1.90774728767864e-07,2.57361263131357e-05
"PLPPR4",3297.05823848437,-1.53257946396048,0.294452344848401,-5.20484720456049,1.94156291460617e-07,2.59500938525735e-05
"REEP6",363.160157188097,1.1452208394924,0.220057392995603,5.20419161520868,1.94842885454522e-07,2.59500938525735e-05
"CPS1",1143.47300307626,2.22398058514805,0.42858437378342,5.18913129173466,2.11277397636386e-07,2.79608252188407e-05
"MYO18B",139.567220504646,4.7934395728308,0.92570630057947,5.17814297021661,2.2410546365862e-07,2.94719826735959e-05
"ASPN",44.890988389611,4.73028622792925,0.914506971324747,5.17249881767112,2.30983961652696e-07,3.01867164884867e-05
"RPL10P9",1233.30439565985,2.04555348015711,0.396145752372811,5.16363855450871,2.42195156198977e-07,3.14552839510597e-05
"MIMT1",28.0585867575918,4.61320011803196,0.894321496584876,5.15832408775622,2.4917005593635e-07,3.21008592951626e-05
"RPS28P7",3332.30580254077,0.711434588512138,0.137941099991205,5.15752439669903,2.50236253711693e-07,3.21008592951626e-05
"PCDHGC4",620.412051234616,-1.7579888974828,0.341213067464327,-5.15217342215827,2.57484755343143e-07,3.28293063062507e-05
"IL13RA2",121.827830621905,-1.15499950262557,0.224630300319477,-5.14177963072162,2.72148218713165e-07,3.44886015351048e-05
"SLC45A1",513.54245042623,-0.987327176377896,0.192063435773429,-5.14063060676793,2.73817909436921e-07,3.44911595561809e-05
"PRDM12",120.619399111993,3.69137426884642,0.718537497940647,5.13734395132617,2.78648679939098e-07,3.48894844163266e-05
"RPS2P55",66.8786912400817,2.25921047744271,0.44046751784472,5.12911936956758,2.9110071985778e-07,3.60172547469004e-05
