"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZNF676",58.5391585412519,7.03025049781532,0.749429761790245,9.38079971766987,6.54742124383142e-21,1.95580826012164e-17
"MTND4LP30",578.099176962707,9.12279638868229,1.12864013024166,8.08299841928262,6.31934429939809e-16,1.20124990273104e-12
"PCDHB7",169.821268598131,2.37784065836735,0.315019427059528,7.5482349789114,4.4119639010427e-14,7.6878470975669e-11
"ZNF98",23.2164353605248,7.44492161178899,1.02076017740951,7.29350711024279,3.0198877393891e-13,4.20972350870841e-10
"MTND1P23",5113.04356592771,6.47026714380319,0.917107292827954,7.05508198920951,1.72498981839799e-12,1.8034768551351e-09
"MTND4P12",397.458743391646,2.2424742780277,0.331162763044157,6.77151699488837,1.27438987427383e-11,1.11031217796107e-08
"EFEMP1",503.758198894534,2.10913554726079,0.314981259327445,6.69606678112933,2.14103909982698e-11,1.79076510309529e-08
"PCDHB12",315.385108108625,1.80618874066904,0.274203799346253,6.58703032188208,4.48710672135784e-11,3.60866929013817e-08
"H19",186.979659758414,3.0838307811631,0.472935179780326,6.52062040002081,7.00171779199056e-11,5.09480664671059e-08
"PCDHB11",412.528953090907,2.18708822606652,0.335481557020328,6.51925025474351,7.06596808965122e-11,5.09480664671059e-08
"THRB",531.86980951905,2.00196554478886,0.310253634980073,6.45267393859042,1.09893636668783e-10,7.65958647581419e-08
"RGPD2",93.1462187683775,3.18765837065393,0.495528250767536,6.43284891571062,1.25234119827396e-10,8.44724337287373e-08
"MYOM1",576.838972651275,3.21255500137505,0.500471895866271,6.41905175477318,1.37125788450949e-10,8.96031323909171e-08
"PI15",5437.23564245483,1.59545856456176,0.249748787025509,6.38825350690812,1.67791015879395e-10,1.0506216561858e-07
"PCDHGA8",58.6095183888571,2.55596137222624,0.400669210432501,6.3792308110404,1.7797962670937e-10,1.0633011412837e-07
"VN1R85P",7.99308775951564,6.48891122354443,1.02568480725918,6.32641838664256,2.50916911986759e-10,1.41801962963328e-07
"POSTN",733.6910453108,2.66146481175139,0.423095994305566,6.2904514520864,3.16544036620776e-10,1.61187775381825e-07
"TLCD2",346.680664217404,1.6760896636947,0.268911620719037,6.23286438575262,4.57982628246012e-10,2.17645835377821e-07
"MYBPC2",338.423571765878,6.26055344979378,1.00695500071786,6.21731204009177,5.05743406414941e-10,2.29948842080685e-07
"CAPN6",469.837864755492,5.10993818289304,0.834678126591108,6.1220463554765,9.23811368567468e-10,3.78762661112662e-07
"PCDHB8",150.971533119003,2.25042983267479,0.369868139645238,6.08441114942561,1.16920218025635e-09,4.70154184406928e-07
