"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RTN4R",790.336912891377,-1.21801812870865,0.116321151290057,-10.4711663803207,1.17190040767178e-25,7.90173381546157e-22
"PENK",96.589163802637,-2.03874599501881,0.20089896133245,-10.1481161549913,3.37821334062854e-24,1.70836248635585e-20
"HSPA1A",715.025466061539,-1.68572804941731,0.197535862777334,-8.5337823001664,1.41639251520409e-17,3.58134847469354e-14
"HIRA",411.908078862388,-1.12856065092979,0.132871643538581,-8.49361549894655,2.00306219347668e-17,4.50199356107182e-14
"C22orf39",1503.43015808952,-1.19964205875868,0.142022474155932,-8.44684664091644,2.99276447779189e-17,6.05376398567743e-14
"MYH3",9295.19811320403,8.01903508431316,0.967655449026436,8.28707686437478,1.16065634229523e-16,2.13434149926799e-13
"PCDHB5",560.266015273059,3.00471582345646,0.364793011404387,8.23676915270073,1.76923390237704e-16,2.98233861477357e-13
"VGLL3",2174.96293964247,4.65753199401788,0.567111054977825,8.21273356097774,2.16208950383357e-16,3.36421126796504e-13
"PDYN",95.544232314688,-2.26583764157437,0.283561157555212,-7.99064886428667,1.34230372533084e-15,1.81014131706615e-12
"TNNC2",1396.87211694472,8.20662220076528,1.02603030435204,7.99842087115348,1.26024969662449e-15,1.81014131706615e-12
"PCDHB6",249.736723166118,1.90617018329227,0.239091319785569,7.97256121636634,1.5541920652834e-15,1.96488731853453e-12
"DGCR2",5495.13441209263,-1.05137300939845,0.132175390084004,-7.9543779574265,1.80033740028228e-15,2.02317916293944e-12
"TANGO2",155.151008615781,-1.19660740285207,0.151117318376502,-7.9184001920334,2.4058595022109e-15,2.56135400056431e-12
"ATP2A1",969.25224596371,6.2024759074979,0.783963644758935,7.91168818728212,2.53921736002487e-15,2.56816443792915e-12
"CMKLR2",266.199864538183,2.06886864882601,0.263450370275393,7.85297301599296,4.06289105889118e-15,3.91353144472622e-12
"ACTC1",3373.33765486311,8.03659086425004,1.0381559726487,7.74121719277485,9.8469519567902e-15,9.05382473554328e-12
"ARAP3",173.968514334296,-1.10815426551242,0.1440777099058,-7.69136507123099,1.45573401787011e-14,1.28028642232507e-11
"SRL",755.359098412596,7.01320464273563,0.918533199701603,7.63522172635018,2.25432117775183e-14,1.9000170326485e-11
"THRB",439.113184611349,2.02496662375447,0.266417774504704,7.60071893671164,2.94490084047339e-14,2.38277816804383e-11
"KCNK12",534.999150621558,-1.22921927493368,0.162673749114561,-7.55634686988139,4.14547422910998e-14,3.22517895024756e-11
"CCND1",1889.93259766718,3.20395887531381,0.427290350863376,7.49831787411053,6.46419875993296e-14,4.84288194503422e-11
"TPM2",4325.23174437721,7.02123544128996,0.940890669131292,7.46232869731033,8.50064965970226e-14,6.14111218987347e-11
"CKM",1575.17093643887,5.93994283583108,0.798886344802752,7.43527896611835,1.04347512765043e-13,7.27841892486649e-11
"MYLPF",1473.89511437387,7.80886708778227,1.05150020797657,7.4264056521768,1.11588425392976e-13,7.52403556283042e-11
"NEB",2153.00078303926,5.95894608424537,0.806863583312479,7.38532040296286,1.52086699672195e-13,9.92390245473921e-11
"MTND4LP30",413.793297234188,8.78060962519472,1.19343121248629,7.35744928851152,1.87457584000366e-13,1.18496625286232e-10
"CDH15",471.722315929446,6.66374418609209,0.909811140380763,7.32431588307796,2.40120480283519e-13,1.47186578035607e-10
"FZD10-AS1",269.255708448213,2.38537384337924,0.32769756444167,7.27919307988581,3.35822759010755e-13,1.94086364836273e-10
"TRIM56",1254.35588106075,1.27813151002529,0.175964197035805,7.26358845467422,3.76953735349792e-13,2.11806115518211e-10
"PGM5",278.093872943234,2.76999763532692,0.382692475535266,7.23818160117356,4.54740292507577e-13,2.4860774694171e-10
"MYBPC2",391.228220228482,6.01116067592684,0.839664744558382,7.15900091659604,8.12671430419046e-13,4.32597834066223e-10
"STK33",392.244576781122,1.05524554609618,0.147505811736225,7.15392521606679,8.4331020673455e-13,4.37396893892986e-10
"KLHL41",531.247015991779,5.73904963415976,0.805892077261624,7.12136251998001,1.06865297372677e-12,5.40417808813629e-10
"SIGIRR",55.9597851272517,-2.07954207525125,0.293248330817647,-7.09140293979844,1.32759175428445e-12,6.54988439162581e-10
"LDAF1",636.375246334282,-1.31255713287716,0.185359076700727,-7.08115920860115,1.42953549827006e-12,6.88491525214447e-10
"PHACTR3",1740.44337917244,-1.0568668409909,0.150523090861201,-7.02129377588619,2.19823094556817e-12,9.97960873116807e-10
"CAPN6",866.170534427783,5.8193270585334,0.830190459673023,7.00962892397653,2.38951018491754e-12,1.0507611308807e-09
"ADCK2",488.648303995613,-1.25058329666911,0.180250177640973,-6.93804196498517,3.97571632128094e-12,1.68315115372139e-09
"CACNA1B",1978.84668695663,-1.19130228007073,0.171721908956708,-6.93739248129992,3.99403081761059e-12,1.68315115372139e-09
"TTN",6228.09278673102,5.69870065429884,0.824834691108424,6.90890031145616,4.88425017558731e-12,2.01629821534245e-09
"LDB3",193.330390574388,4.71663379212277,0.683467593834978,6.90103500834247,5.16250072455301e-12,2.06250391661962e-09
"ZNF354C",591.501340666574,-1.01587142013892,0.147227654541454,-6.90000410115128,5.20010380401427e-12,2.06250391661962e-09
"SERPINI1",2880.82667564956,-1.16310586851944,0.168864404660595,-6.88780960592138,5.66579689273339e-12,2.20399499127329e-09
"LMOD3",314.659773404198,6.79297611743295,0.987292296131906,6.88041033445417,5.96804012341043e-12,2.27776444559144e-09
"LINC00574",25.9401879258437,-2.36396087487196,0.343749742259598,-6.87698224683094,6.11337254400911e-12,2.29002407074475e-09
"STAC3",320.045042948226,4.34280319725229,0.635160399430436,6.83733305972254,8.06810199663428e-12,2.91431369978425e-09
"EXO5",90.0588096465191,-1.40100630735332,0.205928857138058,-6.80335105445694,1.02213162410581e-11,3.6273120162127e-09
"ZNF98",15.8698030527909,7.45364632297244,1.09955706822992,6.7787716875591,1.21201882342853e-11,4.22702013108834e-09
"OSBPL3",287.851820264138,1.44780610774592,0.214496541619871,6.74978765071052,1.48061691999846e-11,5.07625746741166e-09
"GRIN1",3364.43227751739,-1.5818828790215,0.235057877170005,-6.72975906217944,1.6994425721027e-11,5.72938739141557e-09
"TMEM150C",1037.56496950322,-1.05813036751523,0.157395264838567,-6.72275858235317,1.78315896661561e-11,5.91307206175418e-09
"MYOZ2",122.415645628544,7.25899873246472,1.08064755543119,6.71726752721731,1.85163835825611e-11,6.0411194694846e-09
"OTOF",70.8695213516667,-1.9188554110487,0.28609144804257,-6.70714005671072,1.98475751468402e-11,6.37264682651243e-09
"MTND1P23",3081.16970507947,6.03639371853814,0.90585701451713,6.6637378988072,2.66949367605909e-11,8.43726844989427e-09
"CCDC102B",299.633957707077,1.73380713952326,0.260924199155111,6.6448690659488,3.0348673910834e-11,9.44450732105153e-09
"GJA5",18.1127083994732,7.0609522848534,1.07143508298869,6.59018208098746,4.39287497566619e-11,1.30675110305552e-08
"PRRG3",103.950013491338,-2.1257890464737,0.323258332653867,-6.57613070333416,4.82848149080332e-11,1.4155148347242e-08
"IGF2",6951.3145907271,4.18061396888521,0.636249192194312,6.57071792023343,5.00732407542113e-11,1.44697359139455e-08
"FOXJ1",188.383909641031,1.51604494525095,0.230890760126071,6.56607022482475,5.16604599553485e-11,1.471813780249e-08
"ENO3",677.907190666507,4.09108292832991,0.623508784850135,6.56138779073215,5.3309283061886e-11,1.48106984238047e-08
"MYOG",594.723798827745,6.84121485938408,1.04270987915219,6.56099553304945,5.34497224113971e-11,1.48106984238047e-08
"TNNC1",234.052117776072,5.41372294171911,0.825779295518208,6.55589571099841,5.53088757152687e-11,1.51187559184927e-08
"CACNG1",183.961022615631,4.25345222229557,0.652510587863886,6.51859494911803,7.09690085283535e-11,1.8643650707942e-08
"ANKRD30B",18.3737261424786,4.22744287269498,0.650819850415868,6.49556535498063,8.27221660051603e-11,2.11810629614226e-08
"PAX3",1075.78300972585,2.55862940911326,0.394293478046066,6.48914971100366,8.6322156728135e-11,2.18265573287089e-08
"ARC",215.293210310963,-1.48980423309226,0.229819840689118,-6.48248745027871,9.02225912976027e-11,2.22563728874135e-08
"MYBPC1",1099.26196914056,6.88137989369993,1.06123242905606,6.48432869679711,8.91277242319734e-11,2.22563728874135e-08
"DES",1501.02776706611,7.18185151130471,1.10875772780472,6.47738575452764,9.33253844879169e-11,2.27444081617058e-08
"PRDM13",122.860859074748,2.98701683363964,0.462209275431641,6.46247704754555,1.0300277318169e-10,2.45122364225791e-08
"RPL39L",100.439537658033,-1.57674443973583,0.243917604068906,-6.46425027727969,1.01802261937976e-10,2.45122364225791e-08
"PLPPR4",3438.02063756823,-1.55155659273804,0.240285325166675,-6.45714253112128,1.06698398442257e-10,2.50964558568601e-08
"ACTG2",236.096711530863,6.67581599192924,1.03522052049569,6.44868978131607,1.12821224829062e-10,2.62315831706009e-08
"HSPA1L",100.06721617791,-1.33641453768556,0.207855256329286,-6.42954410336586,1.27987221815116e-10,2.94196082145018e-08
"PLEKHA4",794.546086697218,2.23905078715465,0.350894022150422,6.38098869120889,1.75948302273339e-10,3.91257460146905e-08
"PODXL",2842.81944907689,2.53720281335356,0.39762272081167,6.38093016459007,1.76015566904134e-10,3.91257460146905e-08
"ACOT1",19.6169896426372,-1.98791897667182,0.312033298097757,-6.3708552542012,1.87976986916451e-10,4.00252472773261e-08
"HEYL",101.57010006938,4.91689123066026,0.771432606521141,6.37371455276373,1.845038546149e-10,4.00252472773261e-08
"LINC00472",128.549420172631,1.83977605821856,0.288729659540698,6.37196767781052,1.86618222787036e-10,4.00252472773261e-08
"SYNPO2L",239.415732699338,4.93132510911298,0.773798164446629,6.37288292437286,1.8550749887609e-10,4.00252472773261e-08
"TFPI2",109.781715828353,4.44396947507687,0.698628985110054,6.36098640307175,2.00462191656038e-10,4.2239054300191e-08
"WLS",7851.0688734476,2.44203475538613,0.385980295645113,6.32683787990941,2.50236015374271e-10,5.21832383401108e-08
"MYH8",6885.825802945,8.60060379762741,1.36100079328869,6.31932313341649,2.6271143086315e-10,5.36780487222202e-08
"SIX1",156.764790978753,8.14474949748422,1.28857459907752,6.32074348145227,2.60307827070418e-10,5.36780487222202e-08
