"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PENK",96.589163802637,-2.03874599501881,0.20089896133245,-10.1481161549913,3.37821334062854e-24,1.70836248635585e-20
"HSPA1A",715.025466061539,-1.68572804941731,0.197535862777334,-8.5337823001664,1.41639251520409e-17,3.58134847469354e-14
"MYH3",9295.19811320403,8.01903508431316,0.967655449026436,8.28707686437478,1.16065634229523e-16,2.13434149926799e-13
"PCDHB5",560.266015273059,3.00471582345646,0.364793011404387,8.23676915270073,1.76923390237704e-16,2.98233861477357e-13
"VGLL3",2174.96293964247,4.65753199401788,0.567111054977825,8.21273356097774,2.16208950383357e-16,3.36421126796504e-13
"PDYN",95.544232314688,-2.26583764157437,0.283561157555212,-7.99064886428667,1.34230372533084e-15,1.81014131706615e-12
"TNNC2",1396.87211694472,8.20662220076528,1.02603030435204,7.99842087115348,1.26024969662449e-15,1.81014131706615e-12
"PCDHB6",249.736723166118,1.90617018329227,0.239091319785569,7.97256121636634,1.5541920652834e-15,1.96488731853453e-12
"ATP2A1",969.25224596371,6.2024759074979,0.783963644758935,7.91168818728212,2.53921736002487e-15,2.56816443792915e-12
"CMKLR2",266.199864538183,2.06886864882601,0.263450370275393,7.85297301599296,4.06289105889118e-15,3.91353144472622e-12
"ACTC1",3373.33765486311,8.03659086425004,1.0381559726487,7.74121719277485,9.8469519567902e-15,9.05382473554328e-12
"SRL",755.359098412596,7.01320464273563,0.918533199701603,7.63522172635018,2.25432117775183e-14,1.9000170326485e-11
"THRB",439.113184611349,2.02496662375447,0.266417774504704,7.60071893671164,2.94490084047339e-14,2.38277816804383e-11
"CCND1",1889.93259766718,3.20395887531381,0.427290350863376,7.49831787411053,6.46419875993296e-14,4.84288194503422e-11
"TPM2",4325.23174437721,7.02123544128996,0.940890669131292,7.46232869731033,8.50064965970226e-14,6.14111218987347e-11
"CKM",1575.17093643887,5.93994283583108,0.798886344802752,7.43527896611835,1.04347512765043e-13,7.27841892486649e-11
"MYLPF",1473.89511437387,7.80886708778227,1.05150020797657,7.4264056521768,1.11588425392976e-13,7.52403556283042e-11
"NEB",2153.00078303926,5.95894608424537,0.806863583312479,7.38532040296286,1.52086699672195e-13,9.92390245473921e-11
"MTND4LP30",413.793297234188,8.78060962519472,1.19343121248629,7.35744928851152,1.87457584000366e-13,1.18496625286232e-10
"CDH15",471.722315929446,6.66374418609209,0.909811140380763,7.32431588307796,2.40120480283519e-13,1.47186578035607e-10
"FZD10-AS1",269.255708448213,2.38537384337924,0.32769756444167,7.27919307988581,3.35822759010755e-13,1.94086364836273e-10
