"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection","intersection_gene","intersection_gene_id","term"
"query_1",TRUE,1.49245433980554e-05,6,12,3,0.25,0.5,"CORUM:7268","CORUM","HEPACAM-MLC1-Na,K-ATPase-Kir4.1-AQP4-TRPV4 complex",3383,2733,"CORUM,CORUM,CORUM","AQP4,HEPACAM,KCNJ10","AQP4,HEPACAM,KCNJ10","ENSG00000171885,ENSG00000165478,ENSG00000177807","CORUM - HEPACAM-MLC1-Na,K-ATPase-Kir4.1-AQP4-TRPV4 complex"
"query_1",TRUE,0.00188865942774694,6,12,2,0.166666666666667,0.333333333333333,"CORUM:7265","CORUM","MLC1-Na,K-ATPase-Kir4.1-AQP4-TRPV4-syntrophin complex",3383,2730,"CORUM,CORUM","AQP4,KCNJ10","AQP4,KCNJ10","ENSG00000171885,ENSG00000177807","CORUM - MLC1-Na,K-ATPase-Kir4.1-AQP4-TRPV4-syntrophin complex"
"query_1",TRUE,0.015582067291969,2,12,1,0.0833333333333333,0.5,"CORUM:6115","CORUM","BAG1-HSP70 complex",3383,1900,"CORUM","HSPA1A","HSPA1A","ENSG00000204389","CORUM - BAG1-HSP70 complex"
"query_1",TRUE,0.015582067291969,2,12,1,0.0833333333333333,0.5,"CORUM:6096","CORUM","alphaB-crystallin-Nav1.5 complex",3383,1887,"CORUM","SCN5A","SCN5A","ENSG00000183873","CORUM - alphaB-crystallin-Nav1.5 complex"
"query_1",TRUE,0.015582067291969,2,12,1,0.0833333333333333,0.5,"CORUM:5658","CORUM","Nrp1-PlexinD1 complex",3383,1761,"CORUM","PLXND1","PLXND1","ENSG00000004399","CORUM - Nrp1-PlexinD1 complex"
"query_1",TRUE,0.015582067291969,2,12,1,0.0833333333333333,0.5,"CORUM:5654","CORUM","SEMA4A-PlexinD1 complex",3383,1758,"CORUM","PLXND1","PLXND1","ENSG00000004399","CORUM - SEMA4A-PlexinD1 complex"
"query_1",TRUE,0.015582067291969,2,12,1,0.0833333333333333,0.5,"CORUM:5409","CORUM","TIAM1-GRIN1 complex",3383,1672,"CORUM","GRIN1","GRIN1","ENSG00000176884","CORUM - TIAM1-GRIN1 complex"
"query_1",TRUE,0.015582067291969,2,12,1,0.0833333333333333,0.5,"CORUM:432","CORUM","N-NOS-CHIP-HSP70-1 complex",3383,249,"CORUM","HSPA1A","HSPA1A","ENSG00000204389","CORUM - N-NOS-CHIP-HSP70-1 complex"
"query_1",TRUE,0.015582067291969,2,12,1,0.0833333333333333,0.5,"CORUM:6832","CORUM","FGF19-FGFR4-KLB complex, heparin induced",3383,2402,"CORUM","FGF19","FGF19","ENSG00000162344","CORUM - FGF19-FGFR4-KLB complex, heparin induced"
"query_1",TRUE,0.015582067291969,2,12,1,0.0833333333333333,0.5,"CORUM:7239","CORUM","CHRNA7-NMDAR1 complex",3383,2712,"CORUM","GRIN1","GRIN1","ENSG00000176884","CORUM - CHRNA7-NMDAR1 complex"
"query_1",TRUE,0.016667931023501,3,12,1,0.0833333333333333,0.333333333333333,"CORUM:7269","CORUM","p532-Clathrin-HSP70 complex",3383,2734,"CORUM","HSPA1A","HSPA1A","ENSG00000204389","CORUM - p532-Clathrin-HSP70 complex"
"query_1",TRUE,0.016667931023501,3,12,1,0.0833333333333333,0.333333333333333,"CORUM:7421","CORUM","TSPY1-TSPYL5-USP7 complex",3383,2831,"CORUM","TSPYL5","TSPYL5","ENSG00000180543","CORUM - TSPY1-TSPYL5-USP7 complex"
"query_1",TRUE,0.016667931023501,3,12,1,0.0833333333333333,0.333333333333333,"CORUM:7042","CORUM","PDZK1-PLCB3- SSTR2 complex",3383,2544,"CORUM","SSTR2","SSTR2","ENSG00000180616","CORUM - PDZK1-PLCB3- SSTR2 complex"
"query_1",TRUE,0.016667931023501,3,12,1,0.0833333333333333,0.333333333333333,"CORUM:5659","CORUM","SEMA3C-PlexinD1-Nrp1 complex",3383,1762,"CORUM","PLXND1","PLXND1","ENSG00000004399","CORUM - SEMA3C-PlexinD1-Nrp1 complex"
"query_1",TRUE,0.0194143173746326,4,12,1,0.0833333333333333,0.25,"CORUM:5423","CORUM","HSP70-BAG5-PARK2 complex",3383,1684,"CORUM","HSPA1A","HSPA1A","ENSG00000204389","CORUM - HSP70-BAG5-PARK2 complex"
