"miRNA","gene","correlation","miRNA_log2FC","gene_log2FC"
"hsa-miR-1-3p","ADCK2",1,5.25755137504538,-1.25058329666911
"hsa-miR-1-3p","DGCR2",1,5.25755137504538,-1.05137300939845
"hsa-miR-1-3p","FAM107A",1,5.25755137504538,-1.26773150123051
"hsa-miR-1-3p","FKBP9",1,5.25755137504538,-1.05497521609259
"hsa-miR-1-3p","LGI1",1,5.25755137504538,-1.17614897368753
"hsa-miR-1-3p","MOBP",2,5.25755137504538,-2.70317956020268
"hsa-miR-1-3p","MUC3A",1,5.25755137504538,-1.67060275295659
"hsa-miR-1-3p","NECAB1",1,5.25755137504538,-1.59549718218833
"hsa-miR-1-3p","NR4A2",5,5.25755137504538,-1.14720037548549
"hsa-miR-1-3p","OPCML",1,5.25755137504538,-1.31612934179823
"hsa-miR-1-3p","PDE2A",1,5.25755137504538,-1.4161781794751
"hsa-miR-1-3p","SERPINB9",4,5.25755137504538,-1.15407997648906
"hsa-miR-1-3p","SFRP1",6,5.25755137504538,-1.72087089976211
"hsa-miR-1-3p","SIK1",1,5.25755137504538,-1.70770389747976
"hsa-miR-1-3p","SLC16A3",3,5.25755137504538,-1.30733501087084
"hsa-miR-1-3p","SLC17A7",2,5.25755137504538,-2.24061161997734
"hsa-miR-1-3p","TNFRSF10D",1,5.25755137504538,-1.64769707664207
"hsa-miR-106a-5p","AQP4",4,2.06118645095179,-2.02509190457429
"hsa-miR-106a-5p","CLDN11",1,2.06118645095179,-1.33026854312272
"hsa-miR-106a-5p","DLGAP1",5,2.06118645095179,-1.07531385192285
"hsa-miR-106a-5p","DOCK9",2,2.06118645095179,-1.00823813288664
"hsa-miR-106a-5p","FAM107A",1,2.06118645095179,-1.26773150123051
"hsa-miR-106a-5p","FBXO32",1,2.06118645095179,-1.53281092956092
"hsa-miR-106a-5p","HTR2A",2,2.06118645095179,-1.72828150298152
"hsa-miR-106a-5p","KCNJ10",6,2.06118645095179,-1.55530387894029
"hsa-miR-106a-5p","NBL1",5,2.06118645095179,-1.05293684112893
"hsa-miR-106a-5p","NR4A2",6,2.06118645095179,-1.14720037548549
"hsa-miR-106a-5p","NR4A3",6,2.06118645095179,-1.13045094679501
"hsa-miR-106a-5p","OLIG1",3,2.06118645095179,-2.6409984519228
"hsa-miR-106a-5p","PCDHA4",6,2.06118645095179,-1.38191220575577
"hsa-miR-106a-5p","PDGFRA",6,2.06118645095179,-2.01698611825928
"hsa-miR-106a-5p","PLXND1",2,2.06118645095179,-1.72439502242362
"hsa-miR-106a-5p","RASGEF1A",5,2.06118645095179,-1.00229916126468
"hsa-miR-106a-5p","RASL11B",6,2.06118645095179,-1.47905115329015
"hsa-miR-106a-5p","RNASEH2B",3,2.06118645095179,-1.07549247711424
"hsa-miR-106a-5p","RNF128",6,2.06118645095179,-1.0377423348857
"hsa-miR-106a-5p","SERTM1",2,2.06118645095179,-1.105267600602
"hsa-miR-106a-5p","SFRP1",1,2.06118645095179,-1.72087089976211
"hsa-miR-106a-5p","SHE",2,2.06118645095179,-2.74512987768973
"hsa-miR-106a-5p","SIK1",5,2.06118645095179,-1.70770389747976
"hsa-miR-106a-5p","SLC17A7",6,2.06118645095179,-2.24061161997734
"hsa-miR-106a-5p","SLC30A10",2,2.06118645095179,-1.28484627224831
"hsa-miR-106a-5p","ST3GAL1",5,2.06118645095179,-1.35115212006341
"hsa-miR-106a-5p","TNFRSF10D",3,2.06118645095179,-1.64769707664207
"hsa-miR-128-3p","ACTA2",3,-1.13779620651963,2.5393564178796
"hsa-miR-128-3p","ADAM12",2,-1.13779620651963,1.98410732743903
"hsa-miR-128-3p","ADAMTS5",5,-1.13779620651963,1.48203074699543
"hsa-miR-128-3p","AJUBA",1,-1.13779620651963,1.51954324093895
"hsa-miR-128-3p","ANGPT2",4,-1.13779620651963,1.11407285043832
"hsa-miR-128-3p","ANXA2",1,-1.13779620651963,1.35242458938101
"hsa-miR-128-3p","APCDD1",1,-1.13779620651963,1.05980885460302
"hsa-miR-128-3p","AQP1",1,-1.13779620651963,2.31318904218444
"hsa-miR-128-3p","ARHGAP28",4,-1.13779620651963,1.31301247037953
"hsa-miR-128-3p","BCAT1",1,-1.13779620651963,1.36939414383033
"hsa-miR-128-3p","BVES",4,-1.13779620651963,1.6523892810512
"hsa-miR-128-3p","CASP7",1,-1.13779620651963,1.32925119780579
"hsa-miR-128-3p","CAST",2,-1.13779620651963,1.01489989823892
"hsa-miR-128-3p","CCND1",1,-1.13779620651963,3.20395887531381
