GeneID,Count,GeneName
ENSG00000000003,728,TSPAN6
ENSG00000000005,4,TNMD
ENSG00000000419,786,DPM1
ENSG00000000457,432,SCYL3
ENSG00000000460,122,C1orf112
ENSG00000000938,0,FGR
ENSG00000000971,0,CFH
ENSG00000001036,527,FUCA2
ENSG00000001084,586,GCLC
ENSG00000001167,1209,NFYA
ENSG00000001460,127,STPG1
ENSG00000001461,991,NIPAL3
ENSG00000001497,2081,LAS1L
ENSG00000001561,686,ENPP4
ENSG00000001617,840,SEMA3F
ENSG00000001626,78,CFTR
ENSG00000001629,3487,ANKIB1
ENSG00000001630,464,CYP51A1
ENSG00000001631,218,KRIT1
ENSG00000002016,690,RAD52
ENSG00000002079,19,MYH16
ENSG00000002330,416,BAD
ENSG00000002549,726,LAP3
ENSG00000002586,704,CD99
ENSG00000002587,90,HS3ST1
ENSG00000002726,2,AOC1
ENSG00000002745,4,WNT16
ENSG00000002746,3652,HECW1
ENSG00000002822,18,MAD1L1
ENSG00000002834,6277,LASP1
ENSG00000002919,739,SNX11
ENSG00000002933,14,TMEM176A
ENSG00000003056,1373,M6PR
ENSG00000003096,1185,KLHL13
ENSG00000003137,195,CYP26B1
ENSG00000003147,683,ICA1
ENSG00000003249,3084,DBNDD1
ENSG00000003393,2647,ALS2
ENSG00000003400,4,CASP10
ENSG00000003402,868,CFLAR
ENSG00000003436,35,TFPI
ENSG00000003509,924,NDUFAF7
ENSG00000003756,6101,RBM5
ENSG00000003987,1304,MTMR7
ENSG00000003989,44,SLC7A2
ENSG00000004059,2685,ARF5
ENSG00000004139,1592,SARM1
ENSG00000004142,2250,POLDIP2
ENSG00000004399,173,PLXND1
ENSG00000004455,1986,AK2
ENSG00000004468,3,CD38
ENSG00000004478,4172,FKBP4
ENSG00000004487,7399,KDM1A
ENSG00000004534,4632,RBM6
ENSG00000004660,887,CAMKK1
ENSG00000004700,354,RECQL
ENSG00000004766,1480,VPS50
ENSG00000004776,9,HSPB6
ENSG00000004777,4315,ARHGAP33
ENSG00000004779,882,NDUFAB1
