GeneID,Count,GeneName
ENSG00000000003,3486,TSPAN6
ENSG00000000005,521,TNMD
ENSG00000000419,966,DPM1
ENSG00000000457,352,SCYL3
ENSG00000000460,132,C1orf112
ENSG00000000938,16,FGR
ENSG00000000971,0,CFH
ENSG00000001036,806,FUCA2
ENSG00000001084,643,GCLC
ENSG00000001167,2514,NFYA
ENSG00000001460,274,STPG1
ENSG00000001461,1261,NIPAL3
ENSG00000001497,1398,LAS1L
ENSG00000001561,1177,ENPP4
ENSG00000001617,1441,SEMA3F
ENSG00000001626,33,CFTR
ENSG00000001629,4529,ANKIB1
ENSG00000001630,642,CYP51A1
ENSG00000001631,259,KRIT1
ENSG00000002016,327,RAD52
ENSG00000002079,10,MYH16
ENSG00000002330,536,BAD
ENSG00000002549,1328,LAP3
ENSG00000002586,7644,CD99
ENSG00000002587,682,HS3ST1
ENSG00000002726,0,AOC1
ENSG00000002745,4,WNT16
ENSG00000002746,3191,HECW1
ENSG00000002822,6,MAD1L1
ENSG00000002834,8542,LASP1
ENSG00000002919,910,SNX11
ENSG00000002933,8,TMEM176A
ENSG00000003056,2083,M6PR
ENSG00000003096,2819,KLHL13
ENSG00000003137,13282,CYP26B1
ENSG00000003147,250,ICA1
ENSG00000003249,2119,DBNDD1
ENSG00000003393,2554,ALS2
ENSG00000003400,27,CASP10
ENSG00000003402,473,CFLAR
ENSG00000003436,2400,TFPI
ENSG00000003509,319,NDUFAF7
ENSG00000003756,2122,RBM5
ENSG00000003987,681,MTMR7
ENSG00000003989,182,SLC7A2
ENSG00000004059,2844,ARF5
ENSG00000004139,1092,SARM1
ENSG00000004142,2977,POLDIP2
ENSG00000004399,1915,PLXND1
ENSG00000004455,1981,AK2
ENSG00000004468,64,CD38
ENSG00000004478,3697,FKBP4
ENSG00000004487,8334,KDM1A
ENSG00000004534,3649,RBM6
ENSG00000004660,624,CAMKK1
ENSG00000004700,483,RECQL
ENSG00000004766,1700,VPS50
ENSG00000004776,16,HSPB6
ENSG00000004777,7634,ARHGAP33
ENSG00000004779,1528,NDUFAB1
ENSG00000004799,99,PDK4
ENSG00000004809,0,SLC22A16
ENSG00000004838,36,ZMYND10
ENSG00000004846,0,ABCB5
ENSG00000004848,657,ARX
ENSG00000004864,677,SLC25A13
ENSG00000004866,1388,ST7
ENSG00000004897,2398,CDC27
ENSG00000004939,62,SLC4A1
ENSG00000004948,302,CALCR
ENSG00000004961,406,HCCS
ENSG00000004975,1676,DVL2
ENSG00000005001,0,PRSS22
ENSG00000005007,4654,UPF1
ENSG00000005020,277,SKAP2
ENSG00000005022,4106,SLC25A5
ENSG00000005059,451,MCUB
ENSG00000005073,0,HOXA11
ENSG00000005075,953,POLR2J
ENSG00000005100,1210,DHX33
ENSG00000005102,0,MEOX1
ENSG00000005108,8626,THSD7A
ENSG00000005156,1089,LIG3
ENSG00000005175,1245,RPAP3
ENSG00000005187,7,ACSM3
ENSG00000005189,211,REXO5
ENSG00000005194,1753,CIAPIN1
ENSG00000005206,1579,SPPL2B
ENSG00000005238,1309,FAM214B
ENSG00000005243,57,COPZ2
ENSG00000005249,5922,PRKAR2B
ENSG00000005302,973,MSL3
ENSG00000005339,5580,CREBBP
ENSG00000005379,1376,TSPOAP1
ENSG00000005381,2,MPO
ENSG00000005421,0,PON1
ENSG00000005436,366,GCFC2
ENSG00000005448,861,WDR54
ENSG00000005469,834,CROT
ENSG00000005471,32,ABCB4
ENSG00000005483,6499,KMT2E
ENSG00000005486,6759,RHBDD2
ENSG00000005513,1004,SOX8
ENSG00000005700,2553,IBTK
ENSG00000005801,1676,ZNF195
ENSG00000005810,6383,MYCBP2
ENSG00000005812,1120,FBXL3
ENSG00000005844,20,ITGAL
