GeneID,Count,GeneName
ENSG00000000003,3155,TSPAN6
ENSG00000000005,238,TNMD
ENSG00000000419,993,DPM1
ENSG00000000457,208,SCYL3
ENSG00000000460,124,C1orf112
ENSG00000000938,47,FGR
ENSG00000000971,0,CFH
ENSG00000001036,1122,FUCA2
ENSG00000001084,492,GCLC
ENSG00000001167,2318,NFYA
ENSG00000001460,238,STPG1
ENSG00000001461,1454,NIPAL3
ENSG00000001497,1163,LAS1L
ENSG00000001561,1083,ENPP4
ENSG00000001617,1387,SEMA3F
ENSG00000001626,15,CFTR
ENSG00000001629,3060,ANKIB1
ENSG00000001630,740,CYP51A1
ENSG00000001631,177,KRIT1
ENSG00000002016,247,RAD52
ENSG00000002079,1,MYH16
ENSG00000002330,405,BAD
ENSG00000002549,1049,LAP3
ENSG00000002586,6649,CD99
ENSG00000002587,916,HS3ST1
ENSG00000002726,0,AOC1
ENSG00000002745,22,WNT16
ENSG00000002746,2286,HECW1
ENSG00000002822,1,MAD1L1
ENSG00000002834,7941,LASP1
ENSG00000002919,667,SNX11
ENSG00000002933,26,TMEM176A
ENSG00000003056,2000,M6PR
ENSG00000003096,2512,KLHL13
ENSG00000003137,2144,CYP26B1
ENSG00000003147,361,ICA1
ENSG00000003249,1631,DBNDD1
ENSG00000003393,2261,ALS2
ENSG00000003400,6,CASP10
ENSG00000003402,345,CFLAR
ENSG00000003436,1371,TFPI
ENSG00000003509,318,NDUFAF7
ENSG00000003756,1789,RBM5
ENSG00000003987,463,MTMR7
ENSG00000003989,256,SLC7A2
ENSG00000004059,3264,ARF5
ENSG00000004139,684,SARM1
ENSG00000004142,2413,POLDIP2
ENSG00000004399,6204,PLXND1
ENSG00000004455,1797,AK2
ENSG00000004468,58,CD38
ENSG00000004478,4157,FKBP4
ENSG00000004487,7380,KDM1A
ENSG00000004534,3422,RBM6
ENSG00000004660,605,CAMKK1
ENSG00000004700,611,RECQL
ENSG00000004766,1281,VPS50
ENSG00000004776,5,HSPB6
ENSG00000004777,7512,ARHGAP33
ENSG00000004779,1346,NDUFAB1
ENSG00000004799,67,PDK4
ENSG00000004809,2,SLC22A16
ENSG00000004838,20,ZMYND10
ENSG00000004846,0,ABCB5
ENSG00000004848,1879,ARX
ENSG00000004864,625,SLC25A13
ENSG00000004866,1059,ST7
ENSG00000004897,1738,CDC27
ENSG00000004939,42,SLC4A1
ENSG00000004948,72,CALCR
ENSG00000004961,391,HCCS
ENSG00000004975,1398,DVL2
ENSG00000005001,0,PRSS22
ENSG00000005007,3576,UPF1
ENSG00000005020,297,SKAP2
